Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
"Vis vitalis; stillevens van Hollandse en Vlaamse meesters, 1550-1700 t/m 9 mei Centraal Museum, Nicolaaskerkhof 10, Utrecht. Di t/m zo 11-17u","Vis vitalis; stillevens van Hollandse en <extra_id_0> t/m 9 mei Centraal Museum, Nicolaaskerkhof 10, Utrecht. Di t/m zo 11-17u","['Vlaamse meesters, 1550-1700']",3,7
Tweede film van de regisseurs van Dumb & Dumber is puberale klucht over een aan lager wal geraakte bowling,Tweede <extra_id_0> regisseurs van Dumb & Dumber is puberale klucht over een aan lager wal geraakte bowling,['film van de'],3,6
"na een glaasje champagne tijdens een chique zakendiner, niet meer storen door welke vorm van decorum dan ook.",na een glaasje champagne tijdens een <extra_id_0> meer storen door welke vorm van decorum dan ook.,"['chique zakendiner, niet']",3,6
"ende satire waarin Goldie Hawn, Bette Midler en Diane Keaton in clubverband zinnen op wraak op hun echtgenoten die voor een nieuwe, jongere vrouw hebben gekozen.","ende satire waarin Goldie Hawn, Bette Midler en Diane Keaton in clubverband zinnen op wraak op hun echtgenoten die voor een nieuwe, <extra_id_0>",['jongere vrouw hebben gekozen.'],4,6
". De fotoredactie van NRC selecteert wekelijks de indrukwekkendste, mooiste en beste foto's uit de duizenden foto's die op onze redactie binnenkomen. Deze week onder meer","<extra_id_0> NRC selecteert wekelijks de indrukwekkendste, mooiste en beste foto's uit de duizenden foto's die op onze redactie binnenkomen. Deze week onder meer",['. De fotoredactie van'],4,6
". Snel gemonteerde en vaak verrassende Orkater-collage, met Beppe Costa als de broer van Napoleon die de eerste koning van Nederland was.",. Snel gemonteerde en vaak <extra_id_0> Beppe Costa als de broer van Napoleon die de eerste koning van Nederland was.,"['verrassende Orkater-collage, met']",3,6
". Een musical als een schuimtaart, met massale tapdans, weelderige tableaus en vakwerk van Angela Schijf, Mariska van Kolck, Bart Oomen en Gerrie van der Klei. T/m",". Een musical als <extra_id_0> tapdans, weelderige tableaus en vakwerk van Angela Schijf, Mariska van Kolck, Bart Oomen en Gerrie van der Klei. T/m","['een schuimtaart, met massale']",4,6
". Bij het Nationale Toneel bewerkte Ger Thijs Marcellus Emants' fin-de-sicle-roman tot een ijselijke monoloog. De verteller die Thijs neerzet is een kille moordenaar en tegelijkertijd een gevoelige, naar contact met zijn medemens snakkende heer. En zo ontstaat, onder regie van Frans Strijards, het portret van een verknipt mens",". Bij het Nationale Toneel bewerkte Ger Thijs Marcellus Emants' fin-de-sicle-roman <extra_id_0> De verteller <extra_id_1> is een kille moordenaar en tegelijkertijd een gevoelige, naar contact met zijn medemens snakkende heer. En zo ontstaat, onder regie van Frans Strijards, het portret van een verknipt mens","['tot een ijselijke monoloog.', 'die Thijs neerzet']",7,6
"ndianenepos van en met Kevin Kostner. De zevenvoudige Oscarwinnaar smaakt als een ouderwets romantische, grootse western, al staat de held nu aan de goede kant: die van de Sioux-indianen wier cultuur gedetailleerd werd gereconstrueerd.","ndianenepos van en met Kevin Kostner. De zevenvoudige Oscarwinnaar smaakt als een ouderwets romantische, grootse western, al staat de held nu aan de goede kant: die van de Sioux-indianen <extra_id_0> gereconstrueerd.",['wier cultuur gedetailleerd werd'],5,6
"e deel in een serie over de toenemende krapte op de arbeidsmarkt, de oorzaken, de aanpak en de gevolgen hiervan.","e deel in een serie over de toenemende krapte op de arbeidsmarkt, <extra_id_0> aanpak en de gevolgen hiervan.","['de oorzaken, de']",3,6
". INTRODANS Het Arnhemse gezelschap Introdans combineert energie, emotie en theatraliteit in een programma met werk van Jean-Christophe Maillot, Conny Janssen en Ton Wiggers. De voorstelling is een gelukkige combinatie van krachtige bewegingen, opzwepende muziek en smaakvolle toneelbeelden.","<extra_id_0> Arnhemse gezelschap Introdans combineert energie, emotie en theatraliteit in een programma met <extra_id_1> Maillot, Conny Janssen en Ton Wiggers. De voorstelling is een gelukkige combinatie van krachtige bewegingen, opzwepende muziek en smaakvolle toneelbeelden.","['. INTRODANS Het', 'werk van Jean-Christophe']",6,6
". BLIND DATE Gebaseerd op een gemproviseerd scenario van regisseur Theo van Gogh, cameraman Tom Erisman en hoofdrolspelers Peer Mascini en Rene Fokker, met door Kim van Kooten knap geschreven dialogen, werd deze ongesubsidieerde lowbudgetfilm in acht dagen opgenomen. Bewonderenswaardig spel en dito mise-en-scne maken van kat-en-muisspel tussen twee nog slechts via contactadvertenties communicerende echtelieden in de rouw over verlies van dochtertje een bitter hoogstandje in de trant van",". BLIND DATE Gebaseerd op een gemproviseerd scenario <extra_id_0> Gogh, cameraman Tom <extra_id_1> Peer Mascini en Rene Fokker, met door Kim van Kooten knap geschreven dialogen, werd deze ongesubsidieerde lowbudgetfilm in acht dagen opgenomen. Bewonderenswaardig spel en dito mise-en-scne maken van kat-en-muisspel <extra_id_2> slechts via contactadvertenties communicerende echtelieden in de rouw over verlies van dochtertje een bitter hoogstandje in de trant van","['van regisseur Theo van', 'Erisman en hoofdrolspelers', 'tussen twee nog']",10,6
. RICHARD III In de overweldigende film die Richard Loncraine en Ian McKellen maakten naar het historiestuk van Shakespeare is Richard III een dictator in jaren-dertigstijl en wordt de Rozenoorlog uitgevochten met tanks en mortieren. Temidden van spectaculaire decors speelt McKellen de mismaakte usurpator als een aarts-charmeur die zwelgt in bloeddorst en bittere spot. In A,. RICHARD III In de overweldigende film die Richard Loncraine en Ian McKellen maakten naar het historiestuk van Shakespeare is Richard III een dictator <extra_id_0> de Rozenoorlog uitgevochten met <extra_id_1> van spectaculaire decors speelt McKellen de mismaakte usurpator als een aarts-charmeur die zwelgt in bloeddorst en bittere spot. In A,"['in jaren-dertigstijl en wordt', 'tanks en mortieren. Temidden']",8,6
niet uit op groezelig realisme. Hyperrealistische beelden en onnadrukkelijke Schotse humor halen de scherpe kantje,niet uit op groezelig realisme. <extra_id_0> en onnadrukkelijke Schotse humor halen de scherpe kantje,['Hyperrealistische beelden'],2,6
". TRAINSPOTTING Het leven van een verslaafde is eerder wonderlijk dan verschrikkelijk, lijken regisseur Danny Boyle en scenarioschrijver John Hodge te willen zeggen in hun surrealistische bewerking van het Schotse cultboek van Irvine Welsh. Ewan McGregor (Shallow Grave) is een geestige junkie op weg naar verlossing temidden van visueel en muzikaal vuurwerk. In",". TRAINSPOTTING Het leven van een verslaafde is eerder wonderlijk dan verschrikkelijk, lijken regisseur Danny Boyle en scenarioschrijver John Hodge te willen zeggen in hun surrealistische bewerking van het Schotse cultboek van Irvine Welsh. Ewan McGregor (Shallow Grave) is een <extra_id_0> naar verlossing <extra_id_1> muzikaal vuurwerk. In","['geestige junkie op weg', 'temidden van visueel en']",8,6
". Sgt. Bilko (Jonathan Lynn, 1996, VS). Flauwe soldatenkomedie waarin gewoontegetrouw intellectuelen, vrouwen en officieren het moeten ontgelden. Steve Martin als charmante nietsnut die",". Sgt. Bilko <extra_id_0> Flauwe soldatenkomedie waarin gewoontegetrouw intellectuelen, vrouwen en officieren het moeten ontgelden. Steve Martin als charmante nietsnut die","['(Jonathan Lynn, 1996, VS).']",4,6
"engsel van romantische komedie en thriller. Jonge verslaggeefster Julia Roberts en gearriveerde columnist Nick Nolte zitten elkaar dwars bij research naar genetisch gemanipuleerde melk, maar zijn uiteraard voor elkaar bestemd.",engsel van romantische komedie en thriller. Jonge verslaggeefster Julia Roberts en gearriveerde columnist Nick Nolte zitten elkaar dwars bij research naar genetisch <extra_id_0> uiteraard voor elkaar bestemd.,"['gemanipuleerde melk, maar zijn']",4,6
Geert Mak schreef In Europa over de historie van de 20ste eeuw. De VPRO zendt er een serie over uit. Onze correspondent in,Geert Mak schreef In Europa over de historie van de 20ste <extra_id_0> zendt er een serie over uit. Onze correspondent in,['eeuw. De VPRO'],3,6
"het manipuleren van de London Interbank Offered Rate (Libor) en de Euro Interbank Offered Rate (Euribor), twee belangrijke rentetarieven in Europa",het manipuleren van de London Interbank Offered Rate (Libor) en de Euro Interbank Offered Rate <extra_id_0> rentetarieven in Europa,"['(Euribor), twee belangrijke']",3,6
ecente schilderijen en aquarellen van Leo Schatz t/m 3 dec in het Joods Historisch Museum in Amsterdam,ecente schilderijen en aquarellen van <extra_id_0> 3 dec in het Joods Historisch Museum in Amsterdam,['Leo Schatz t/m'],3,6
"e callgirl in een puntgaaf gefotografeerd glazen, bedriegelijk spiegelend New York. Katryn Cartlidge geeft deze Claire indrukwekkend ingetogen gestalte.","e callgirl in een puntgaaf gefotografeerd glazen, bedriegelijk spiegelend New York. Katryn Cartlidge geeft <extra_id_0> ingetogen gestalte.",['deze Claire indrukwekkend'],3,6
"lan Bator zweeft boven stad en steppe, aarzelend of hij wil rencarneren in een mens. Geheel uit documentaire impressies opgebouwde potische vertelling van de Belgische antropoloog","lan <extra_id_0> en steppe, aarzelend of hij wil rencarneren in een mens. Geheel uit documentaire impressies opgebouwde potische vertelling van de Belgische antropoloog",['Bator zweeft boven stad'],4,6
". Junior (Ivan Reitman, 1994, VS). Wetenschappelijk minder sterk onderbouwde komedie waarin proefkonijn Arnold Schwarzenegger zwanger is. Hij trekt vrouwenkleren aan en moet al snotteren om de eerste de beste sentimentele tv-reclame. Met Danny DeVito als gynaecoloog en Emma Thompson als klunzige wetenschapster.",". Junior (Ivan Reitman, 1994, VS). Wetenschappelijk minder sterk onderbouwde komedie waarin proefkonijn Arnold Schwarzenegger zwanger is. Hij trekt vrouwenkleren aan en moet al snotteren om de eerste de beste sentimentele tv-reclame. Met Danny <extra_id_0> en Emma <extra_id_1> wetenschapster.","['DeVito als gynaecoloog', 'Thompson als klunzige']",6,6
"heksen zijn. Titelheldinnen Susan Sarandon, Michelle Pfeiffer en Cher vallen voor weerzinwekkende Jack Nicholson die over een duivelse charme beschikt.","heksen zijn. Titelheldinnen Susan Sarandon, Michelle Pfeiffer en Cher vallen voor weerzinwekkende <extra_id_0> over een duivelse charme beschikt.",['Jack Nicholson die'],3,6
Een op de drie Nederlanders woont op het platteland. Daarom deze zomer: de wereld van het dorp Opende.,Een op de drie Nederlanders woont op het platteland. <extra_id_0> de wereld van het dorp Opende.,['Daarom deze zomer:'],3,6
"eam: Julia Roberts, Gena Rowlands, Robert Duvall, scenarist Callie Khouri (Thelma and Louise), regisseur Hallstrm (What","eam: Julia <extra_id_0> Rowlands, Robert Duvall, scenarist Callie Khouri (Thelma and Louise), regisseur Hallstrm (What","['Roberts, Gena']",2,6
In de architectuur wordt originaliteit geprezen. Daarom valt het op als gebouwen op elkaar lijken.,<extra_id_0> architectuur wordt originaliteit geprezen. Daarom valt het op als gebouwen op elkaar lijken.,['In de'],2,6
1. e2-e4 c7-c5 2. Pg1-f3 d7-d6 3. d2-d4 c5xd4 4. Pf3xd4 Pg8-f6 5. Pb1-c3 Pb8-c6 6. Lc1-g5 e7-e6 7. Dd1-d2,1. e2-e4 c7-c5 2. Pg1-f3 d7-d6 3. d2-d4 c5xd4 4. Pf3xd4 Pg8-f6 5. Pb1-c3 <extra_id_0> e7-e6 7. Dd1-d2,['Pb8-c6 6. Lc1-g5'],3,6
plaatselijke gastronomische tradities. Maar de streekkeuken verheugt zich in hernieuwde belangstelling. Vandaag,plaatselijke gastronomische tradities. Maar de streekkeuken <extra_id_0> in hernieuwde belangstelling. Vandaag,['verheugt zich'],2,6
is Dreamhouse (1948). Tom Hanks en Shelley Long kopen landhuis dat een krot blijkt. Restauratie en jaloezie op gemeenschappelijke vriend Alexander Godunov leiden tot huwelijkscrisis.,is Dreamhouse (1948). Tom <extra_id_0> kopen landhuis dat een krot blijkt. Restauratie en jaloezie op gemeenschappelijke vriend Alexander Godunov leiden tot huwelijkscrisis.,['Hanks en Shelley Long'],4,6
e komedie werd tijdens het Cinekidfestival van 1994 bekroond met de publieksprijs. In het Los Angeles van 1959,e komedie werd tijdens het Cinekidfestival van 1994 bekroond met de publieksprijs. <extra_id_0> Angeles van 1959,['In het Los'],3,6
"aan haar (blanke) vader te koppelen. Veel te schattig, ondanks enkele grimmige voetnoten over rassendiscriminatie.","aan <extra_id_0> vader te koppelen. Veel te schattig, ondanks enkele grimmige voetnoten over rassendiscriminatie.",['haar (blanke)'],2,6
"een ingenieuze antiekroof aan een Amsterdamse gracht. Wie goed oplet, herkent Jeroen Krabb als slachtoffer.","een ingenieuze antiekroof aan een Amsterdamse gracht. Wie goed oplet, herkent Jeroen <extra_id_0> slachtoffer.",['Krabb als'],2,6
"Ter illustratie van de traditionele thema's van het stededicht - roem van het verleden, commercie en nijverheid, trots op de burgers, verheerlijking van stad en landschap - is de collectie van het Frans Halsmuseum op een verrassende manier opnieuw gegroepeerd en aangevuld met goedgekozen bruiklenen","Ter illustratie van de <extra_id_0> stededicht - roem van het verleden, commercie en nijverheid, trots op de burgers, <extra_id_1> en landschap - is de collectie van het Frans Halsmuseum op een verrassende manier opnieuw gegroepeerd en aangevuld met goedgekozen bruiklenen","[""traditionele thema's van het"", 'verheerlijking van stad']",7,6
"de nooit vervelende regenten- en schuttersstukken van Hals, werken uit het Boymans en het Rijksmuseum, uit het Mauritshuis en verschillende Duitse musea.","de nooit vervelende regenten- en schuttersstukken van Hals, <extra_id_0> Boymans en het Rijksmuseum, uit het Mauritshuis en verschillende Duitse musea.",['werken uit het'],3,6
"film over opkomst en desintegratie van een fictieve Ierse popgroep, gespecialiseerd in covers van soulklassiekers uit de jaren zeventig.","film <extra_id_0> desintegratie van een fictieve Ierse popgroep, gespecialiseerd in covers van soulklassiekers uit de jaren zeventig.",['over opkomst en'],3,6
". First Knight (Jerry Zucker, 1995, VS). Lancelot (Richard Gere) wil alleen maar naar bed met Guinevere (Julia Ormond) in even dure als platte en overbodige Hollywood-versie van de legende van Koning Arthur (Sean Connery).",". First Knight (Jerry Zucker, 1995, VS). Lancelot (Richard Gere) wil alleen maar naar bed met Guinevere (Julia Ormond) in even dure als <extra_id_0> van de legende van Koning Arthur (Sean Connery).",['platte en overbodige Hollywood-versie'],5,6
". Luuk van Middelaar is politiek filosoof en hoogleraar Europees recht en EU-studies (Leiden, Louvain-la-Neuve).",". Luuk van Middelaar is politiek filosoof <extra_id_0> Europees recht en EU-studies (Leiden, Louvain-la-Neuve).",['en hoogleraar'],2,6
". Judge Dredd (Danny Cannon, 1995, VS). Aan Mad Max, Robocop en Blade Runner schatplichtige, bombastische big",". Judge Dredd (Danny Cannon, 1995, VS). Aan Mad <extra_id_0> Blade Runner schatplichtige, bombastische big","['Max, Robocop en']",3,6
waaruit bleek dat de tabaksindustrie welbewust verslavende stoffen aan sigaretten toevoegt. Russell Crowe speelt de,waaruit bleek dat de tabaksindustrie welbewust verslavende stoffen aan sigaretten toevoegt. <extra_id_0> speelt de,['Russell Crowe'],2,6
", hebben werk, een huis, een auto, kunnen kopen wat ze willen. Maar er ontbreekt iets. Een leidraad, betrokkenheid. En dus zijn ze op zoek naar meer. Vandaag de",", <extra_id_0> een auto, kunnen kopen wat ze willen. Maar er ontbreekt iets. Een leidraad, betrokkenheid. En dus zijn ze op zoek naar meer. Vandaag de","['hebben werk, een huis,']",4,6
1. e2-e4 c7-c5 2. Pg1-f3 Pb8-c6 3. d2-d4 c5xd4 4. Pf3xd4 Pg8-f6 5. Pb1-c3 e7-e5 6. Pd4-b5 d7-d6 7. Lc1-g5 a7-a6 8. Pb5-a3 b7-b5 9.,1. e2-e4 c7-c5 <extra_id_0> d2-d4 c5xd4 4. Pf3xd4 Pg8-f6 5. Pb1-c3 e7-e5 6. Pd4-b5 d7-d6 7. Lc1-g5 a7-a6 8. Pb5-a3 b7-b5 9.,['2. Pg1-f3 Pb8-c6 3.'],4,6
"THE ASSOCIATED PRESS IS UNABLE TO INDEPENDENTLY VERIFY THE AUTHENTICITY, CONTENT, LOCATION OR DATE OF THIS","THE ASSOCIATED PRESS IS <extra_id_0> INDEPENDENTLY VERIFY THE AUTHENTICITY, CONTENT, LOCATION OR DATE OF THIS",['UNABLE TO'],2,6
Tv-recensent Hans Beerekamp selecteert elke week twee documentaires van NPO Doc die de moeite waard zijn.,Tv-recensent Hans Beerekamp selecteert elke week twee documentaires van NPO Doc <extra_id_0> moeite waard zijn.,['die de'],2,6
"] Editorial use only related to cinema, television and personalities. Not for cover use, advertising or fictional works without specific prior agreement The Picture Desk","] Editorial use only related to cinema, television and <extra_id_0> use, advertising or fictional works without specific prior agreement The Picture Desk",['personalities. Not for cover'],4,6
"SCHERVEN In reprise. Fabelachtig vertoon van verbaal meesterschap door Youp van 't Hek, stemmig en veelzeggend begeleid door Rens van der Zalm, in het - met de Scheveningen Vormgevingsprijs bekroonde - decor van een likeurfabriekje waar het vroeger beter was.","SCHERVEN In reprise. Fabelachtig vertoon van verbaal meesterschap door Youp van 't Hek, stemmig en veelzeggend begeleid <extra_id_0> der Zalm, in het - <extra_id_1> Vormgevingsprijs bekroonde - decor van een likeurfabriekje waar het vroeger beter was.","['door Rens van', 'met de Scheveningen']",6,6
. Het geld wordt altijd verstrekt door tussenkomst van plaatselijke hulporganisaties. Het fonds maakt geen kosten en besteedt de jaarlijkse,. Het geld wordt altijd verstrekt door <extra_id_0> hulporganisaties. Het fonds maakt geen kosten en besteedt de jaarlijkse,['tussenkomst van plaatselijke'],3,6
"r. T. Faber-de Heer, oud-hoofd afdeling voorlichting van het ministerie van Justitie; mevr. M.L. Tiesinga","r. T. Faber-de Heer, oud-hoofd afdeling voorlichting van het ministerie <extra_id_0> mevr. M.L. Tiesinga",['van Justitie;'],2,6
"Voortreffelijk satirisch en doortimmerd regiedebuut van Agns Jaoui, die net als haar voorbeeld Woody Allen zelf een van de hoofdrollen speelt, van een hasj dealend barmeisje. Aangename komedie over personages in de provinciestad Rouen, die elkaars subcultuur niet begrijpen, met glansrol voor naar artistiek prestige hengelende, verliefde fabrieksdirecteur Jean-Pierre Bacri. Amsterdam:","Voortreffelijk satirisch en doortimmerd regiedebuut van Agns Jaoui, die net als haar voorbeeld Woody Allen zelf een van de hoofdrollen speelt, van een hasj dealend barmeisje. Aangename komedie over personages <extra_id_0> die elkaars subcultuur niet begrijpen, met glansrol voor naar artistiek prestige hengelende, verliefde fabrieksdirecteur <extra_id_1>","['in de provinciestad Rouen,', 'Jean-Pierre Bacri. Amsterdam:']",8,6
e topontmoeting tussen de Amerikaanse president Donald Trump en de Noord-Koreaanse leider Kim Jong-un,e topontmoeting tussen de Amerikaanse president Donald Trump en <extra_id_0> leider Kim Jong-un,['de Noord-Koreaanse'],2,6
en modieus sprookje over de relatie tussen de analfabete huurmoordenaar Jean Reno en zijn voorlijke 12-jarige buurmeisje Natalie Portman,en modieus sprookje over de <extra_id_0> analfabete huurmoordenaar Jean Reno en zijn voorlijke 12-jarige buurmeisje Natalie Portman,['relatie tussen de'],3,6
". U.S. Marshals (Stuart Baird, 1998, VS). In als The Fugitive II geafficheerde, mechanische actiefilm herneemt Tommy Lee Jones zijn rol van jager, dit keer nog iets duisterder en gekwelder.",". U.S. Marshals (Stuart Baird, 1998, VS). In <extra_id_0> geafficheerde, mechanische actiefilm herneemt Tommy Lee Jones zijn rol van jager, dit keer nog iets duisterder en gekwelder.",['als The Fugitive II'],4,6
(Yannick van de Velde) en zijn al even bezeten vader (Thomas Acda) hopen op een plaats bij het Nederlands jeugdelftal,(Yannick van de Velde) en zijn al even <extra_id_0> Acda) hopen op een plaats bij het Nederlands jeugdelftal,['bezeten vader (Thomas'],3,6
Bioscoopfilm over een superheld (uit de stripboeken van Marvel) die zich van zijn collegas onderscheidt doordat hij blind is,<extra_id_0> superheld (uit de stripboeken van Marvel) die zich van zijn collegas onderscheidt doordat hij blind is,['Bioscoopfilm over een'],3,6
"ef K. belasterd hebben, want zonder dat hij iets kwaads gedaan had, werd hij op een ochtend gearresteerd","ef K. belasterd hebben, want zonder dat hij iets kwaads gedaan had, <extra_id_0> een ochtend gearresteerd",['werd hij op'],3,6
"- NRC Mediavreters In Mediavreters vertellen mensen wat ze kijken, lezen, luisteren en liken. Deze","- NRC <extra_id_0> Mediavreters vertellen mensen wat ze kijken, lezen, luisteren en liken. Deze",['Mediavreters In'],2,6
"Voor de serie De standplaats kijkt een verslaggever langere tijd rond op n plek en beschrijft wat zich daar afspeelt. Dat geeft een beeld van Nederland, zijn bewoners en maatschappelijke ontwikkelingen. Deze keer staat","Voor de serie De standplaats kijkt een verslaggever langere tijd rond op n plek en beschrijft wat zich <extra_id_0> een beeld van Nederland, zijn bewoners en maatschappelijke ontwikkelingen. Deze keer staat",['daar afspeelt. Dat geeft'],5,6
"Europa, Nederland, Nieuwegein, 15-03-2006. Sint Antoniusziekenhuis Alantnatal, Een joint venture tussen het ziekenhuis en de geboortekliniek voor zorg op maat. Aparte ingang, eenpersoonskamers op de verloskunde afdeling, verloskundigen, aparte balie voor afspraken. Zorg, zorg verzekering, geboorte, zwanger, zwangerschap, buik, onderzoek, echo, baby, moeder en kind. Foto Evelyne Jacq","Europa, Nederland, Nieuwegein, 15-03-2006. Sint Antoniusziekenhuis Alantnatal, <extra_id_0> tussen het ziekenhuis en de geboortekliniek voor zorg op maat. Aparte ingang, <extra_id_1> afdeling, verloskundigen, aparte balie voor afspraken. Zorg, zorg verzekering, geboorte, zwanger, zwangerschap, buik, onderzoek, echo, baby, moeder en kind. Foto Evelyne Jacq","['Een joint venture', 'eenpersoonskamers op de verloskunde']",7,6
", een reconstructie van zijn verzameling prenten, beelden en dieren. Jodenbreestraat 4, Amsterdam. Dag 10-17u",", een reconstructie van zijn verzameling prenten, beelden en dieren. Jodenbreestraat <extra_id_0> Dag 10-17u","['4, Amsterdam.']",2,6
"Hollywood - Verkleed verleden, Hollywoodkostuums uit historische kostuumfilms vergezeld door mode uit","<extra_id_0> Verkleed verleden, Hollywoodkostuums uit historische kostuumfilms vergezeld door mode uit",['Hollywood -'],2,6
1. d2-d4 Pg8-f6 2. c2-c4 g7-g6 3. Pb1-c3 d7-d5 4. Pg1-f3 Lf8-g7 5. Dd1-b3 d5xc4 6. Db3xc4 0-0 7. e2-e4,1. d2-d4 Pg8-f6 2. c2-c4 g7-g6 <extra_id_0> 4. Pg1-f3 Lf8-g7 5. Dd1-b3 d5xc4 6. Db3xc4 0-0 7. e2-e4,['3. Pb1-c3 d7-d5'],3,6
". Sean Connery en zijn Russische collega-astronomen, onder wie Natalie Wood, gebruiken elkaars geheime atoomwapens in een collectieve poging een fatale meteorietinslag te voorkomen.",". Sean Connery en zijn Russische collega-astronomen, onder wie <extra_id_0> geheime atoomwapens in een collectieve poging een fatale meteorietinslag te voorkomen.","['Natalie Wood, gebruiken elkaars']",4,6
"dat de Nederlandse overheid meer moet doen om de uitstoot van broeikasgassen, waaronder CO2, te verminderen.","dat de Nederlandse overheid meer <extra_id_0> om de uitstoot van broeikasgassen, waaronder CO2, te verminderen.",['moet doen'],2,6
". Liar Liar (Tom Shadyac, 1997, VS). Met Amerikaanse gezinsmoraal doordrenkt vehikel voor elastieken komiek Jim Carrey. Conform de wens van zijn verwaarloosde zoontje kan",". Liar Liar (Tom Shadyac, 1997, VS). Met <extra_id_0> voor elastieken komiek Jim Carrey. Conform de wens van zijn verwaarloosde zoontje kan",['Amerikaanse gezinsmoraal doordrenkt vehikel'],4,6
e thriller van eigen bodem portretteert Amsterdam als in een toeristenfolder. Zwakste schakel is het scenario over maniakale duiker die vanuit grachten slachtoffers maakt. Inspecteur Huub Stapel gaat op onderzoek uit. Ook met Monique van de Ven,e thriller van eigen bodem portretteert Amsterdam als in een toeristenfolder. Zwakste schakel is het scenario <extra_id_0> die vanuit grachten slachtoffers maakt. Inspecteur Huub Stapel gaat op <extra_id_1> met Monique van de Ven,"['over maniakale duiker', 'onderzoek uit. Ook']",6,6
zit vol kleine grapjes en buigt zich vooral over de overspannen aandacht van de media voor ontwerpers.,zit vol kleine grapjes en buigt zich vooral over de overspannen aandacht van de <extra_id_0>,['media voor ontwerpers.'],3,6
"elk weekeinde twee levensbeschrijvingen van mensen die recent zijn overleden. Het kan gaan om bekende of onbekende mensen, uit binnen- of buitenland; om mensen die zich verdienstelijk hebben gemaakt voor de maatschappij of mensen die op een andere manier zijn opgevallen. Suggesties voor de rubriek zijn welkom op necrologie@nrc.nl.","elk weekeinde twee levensbeschrijvingen van mensen die recent zijn overleden. Het kan gaan <extra_id_0> mensen, uit binnen- of buitenland; om mensen die zich verdienstelijk hebben gemaakt voor de maatschappij of mensen die op een andere manier zijn <extra_id_1> de rubriek zijn welkom op necrologie@nrc.nl.","['om bekende of onbekende', 'opgevallen. Suggesties voor']",7,6
"s Nest (Milos Forman, 1975, VS). Onweerstaanbare succesverfilming van roman van Ken Kesey. Simulant Jack Nicholson activeert medepatinten tot verzet tegen repressie in psychiatrische inrichting. Oscars voor film, regie, scenario, Nicholson en","s Nest (Milos Forman, 1975, VS). Onweerstaanbare succesverfilming van roman van Ken Kesey. Simulant <extra_id_0> tot verzet tegen repressie in psychiatrische inrichting. Oscars voor film, regie, scenario, Nicholson en",['Jack Nicholson activeert medepatinten'],5,6
"De Gruyter, geschiedenis van een kruideniersimperium t/m 14 jan in het Noordbrabants Museum, Verwersstraat 41, Den Bosch. Di t/m vr 10-17u, za en zo 12-17u","De Gruyter, geschiedenis van <extra_id_0> jan in het Noordbrabants Museum, Verwersstraat 41, Den Bosch. Di t/m vr 10-17u, za en zo 12-17u",['een kruideniersimperium t/m 14'],4,6
succesvolste Amerikaanse films aller tijden is een grootscheepse pastiche van de goedkope avonturenfilm,succesvolste <extra_id_0> aller tijden is een grootscheepse pastiche van de goedkope avonturenfilm,['Amerikaanse films'],2,6
"ministers Wopke Hoekstra (Financin, CDA) en Cora van Nieuwenhuizen (Infrastructuur en Waterstaat, VVD)","<extra_id_0> Hoekstra (Financin, CDA) en Cora van Nieuwenhuizen (Infrastructuur en Waterstaat, VVD)",['ministers Wopke'],2,6
jaar geleden gentroduceerd door de Britse psycholoog Cliff Arnall. Aan de hand van een formule waarin,jaar geleden gentroduceerd door de Britse psycholoog Cliff <extra_id_0> de hand van een formule waarin,['Arnall. Aan'],2,6
weeskind en dochter van ongelukkige weduwnaar wisselen van rol en koppelen en passant Kirstie Alley en Steve Guttenberg.,weeskind en <extra_id_0> weduwnaar wisselen van rol en koppelen en passant Kirstie Alley en Steve Guttenberg.,['dochter van ongelukkige'],3,6
"zich tezamen en in vereniging met (een) ander(en), in het openbaar, mondeling, opzettelijk beledigend heeft uitgelaten over een groep mensen, te weten Marokkanen, wegens hun ras","zich tezamen en in vereniging met (een) ander(en), in het openbaar, mondeling, opzettelijk beledigend heeft uitgelaten <extra_id_0> te weten Marokkanen, wegens hun ras","['over een groep mensen,']",4,6
Grimmig en fascinerend epos van Paul Thomas Anderson over een olieman in het begin van de twintigste eeuw die voortgedreven door hebzucht en haat een fortuin vergaart waarmee hij zich voorgoed van de rest van de mensheid hoopt te bevrijden.,Grimmig en fascinerend epos van Paul Thomas Anderson <extra_id_0> in <extra_id_1> de twintigste eeuw die voortgedreven door hebzucht en haat een fortuin vergaart waarmee hij zich voorgoed van de rest van de mensheid hoopt te bevrijden.,"['over een olieman', 'het begin van']",6,6
"or Old Men Weergaloze moderne western van de Coen-broers, een revanche op de reeks middelmatige films die ze hiervoor maakten. In een grimmige woestijn op de grens van Texas en Mexico treft een Vietnam-veteraan een stapel lijken aan: bende-oorlog. Hij vindt","or Old Men Weergaloze moderne western van de Coen-broers, een <extra_id_0> reeks middelmatige films die ze hiervoor maakten. In een grimmige woestijn op de grens van Texas en Mexico treft een Vietnam-veteraan een stapel <extra_id_1> Hij vindt","['revanche op de', 'lijken aan: bende-oorlog.']",6,6
e aflevering van een serie interviews met Nederlandse deelnemers aan de Olympische Spelen die een detail van hun sport belichten.,e <extra_id_0> serie interviews met Nederlandse deelnemers aan de Olympische Spelen die een detail van hun sport belichten.,['aflevering van een'],3,6
