Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
De knapste koppen van Nederland vertellen deze zomer over ontwikkelingen in hun vakgebied in de Zomeruniversiteit. Vandaag deel,De <extra_id_0> Nederland vertellen deze zomer over ontwikkelingen in hun vakgebied in de Zomeruniversiteit. Vandaag deel,['knapste koppen van'],3,7
"De 44-jarige advocaat Derk Wiersum die vanochtend vlak voor zijn huis in Amsterdam is geliquideerd, is ten minste twee keer onder vuur genomen door een jongen met een hoodie. Dat zegt een buurtbewoner die vlakbij de plaats delict woont.","De 44-jarige advocaat Derk Wiersum <extra_id_0> voor zijn huis in Amsterdam is geliquideerd, is ten minste twee keer onder vuur genomen door een jongen met een hoodie. <extra_id_1> buurtbewoner die vlakbij de plaats delict woont.","['die vanochtend vlak', 'Dat zegt een']",6,7
Angela de Jong is al jaren fan van Boer zoekt Vrouw en schrijft elke week een column over de aflevering van zondagavond.,Angela de Jong is al jaren fan van Boer zoekt Vrouw en schrijft elke week een column <extra_id_0> van zondagavond.,['over de aflevering'],3,7
"i Het Formule 1-seizoen telt dit jaar 21 grands prix, n meer dan vorig jaar, en de starttijden van veel races zijn veranderd. In dit overzicht ziet u precies wanneer u de wekker moet zetten of juist lekker uitgebreid kan lunchen.","i Het Formule 1-seizoen telt <extra_id_0> grands prix, n meer dan vorig jaar, en de starttijden van veel races zijn veranderd. In <extra_id_1> u precies wanneer u de wekker moet zetten of juist lekker uitgebreid kan lunchen.","['dit jaar 21', 'dit overzicht ziet']",6,7
Fotograaf Daniella van Bergen en verslaggever Anouk Mentink lopen wekelijks iemand tegen het lijf. Deze week is dat,Fotograaf Daniella van Bergen en verslaggever Anouk Mentink lopen wekelijks <extra_id_0> lijf. Deze week is dat,['iemand tegen het'],3,7
geen Boefjes. Daar voor in de plaats de serie Moordzaken. Sander Sonnemans blikt terug op de meest indrukwekkende zaken.,geen Boefjes. Daar <extra_id_0> plaats de serie Moordzaken. Sander Sonnemans blikt terug op de meest indrukwekkende zaken.,['voor in de'],3,7
"de Nederlandse horeca. De opluchting is groot, bij zowel ondernemers als klanten. Maar draaien op halve kracht door de beperkingen heeft een prijs. Koninklijke Horeca Nederland sluit niet uit dat er op den duur betaald moet worden om op het terras te mogen zitten, of dat de drankjes duurder worden.","de Nederlandse horeca. De opluchting is groot, bij zowel ondernemers als klanten. Maar draaien op halve kracht door de beperkingen <extra_id_0> Horeca Nederland sluit niet uit dat <extra_id_1> betaald moet worden om op het terras te mogen zitten, of dat de drankjes duurder worden.","['heeft een prijs. Koninklijke', 'er op den duur']",8,7
In de rubriek Van Wieg tot Graf vertellen wij het verhaal achter een familiebericht. Vandaag:,In <extra_id_0> Van Wieg tot Graf vertellen wij het verhaal achter een familiebericht. Vandaag:,['de rubriek'],2,7
"</a> <a href=""https://twitter.com/hashtag/Amsterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Amsterdam</a> via <a href=""https://twitter.com/Politie?ref_src=twsrc%5Etfw"">@Politie</a>","</a> <a href=""https://twitter.com/hashtag/Amsterdam?src=hash&amp;ref_src=twsrc%5Etfw"">#Amsterdam</a> via <a href=""https://twitter.com/Politie?ref_src=twsrc%5Etfw"">@Politie</a>",[],1,7
Columnist Lia Thorborg schrijft elke zaterdag een column over het leven in Gouda. Vandaag schrijft ze over,Columnist Lia Thorborg schrijft elke zaterdag een column over <extra_id_0> Gouda. Vandaag schrijft ze over,['het leven in'],3,7
"<a href=""https://twitter.com/hashtag/dtv?src=hash&amp;ref_src=twsrc%5Etfw"">#dtv</a> <a href=""https://t","<a href=""https://twitter.com/hashtag/dtv?src=hash&amp;ref_src=twsrc%5Etfw"">#dtv</a> <a href=""https://t",[],1,7
Onze album- en serierecensies zijn terug. In deze aflevering van de rubriek Kijk- en Luistertips het beste van de afgelopen tijd.,Onze album- en serierecensies zijn <extra_id_0> aflevering van de rubriek Kijk- en Luistertips het beste van de afgelopen tijd.,['terug. In deze'],3,7
In deze sportloze periode bellen we dagelijks met een jarige prominent uit de sportwereld. Door het coronavirus is het toch een heel andere verjaardag dan normaal. Vandaag:,In deze sportloze periode bellen we dagelijks <extra_id_0> uit de sportwereld. Door het coronavirus is het toch een heel andere verjaardag dan normaal. Vandaag:,['met een jarige prominent'],4,7
"ianGP</a> <a href=""https://twitter.com/hashtag/F1?src=hash&amp;ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/","ianGP</a> <a href=""https://twitter.com/hashtag/F1?src=hash&amp;ref_src=twsrc%5Etfw"">#F1</a> <a href=""https://t.co/",[],1,7
De Nederlandse economie blijft op stoom. De totale omvang van de economie nam in het derde kwartaal wederom toe. Volgens het Centraal Bureau voor de Statistiek (CBS) moet Nederland het de laatste tijd vooral hebben van de consum,De Nederlandse economie blijft op stoom. De totale omvang van de economie nam <extra_id_0> kwartaal wederom toe. Volgens het Centraal Bureau voor de Statistiek (CBS) moet Nederland het de laatste tijd vooral <extra_id_1> consum,"['in het derde', 'hebben van de']",6,7
"Nu het Nederlands elftal zich voor het eerst in zes jaar eens heeft geplaatst voor een eindtoernooi kan het grote aftellen beginnen. Maar hoe ziet het traject naar de openingswedstrijd van het EK, op 12 juni 2020 in Rome, er eigenlijk uit? Wanneer speelt Oranje? Welke landen zijn al zeker van Euro2020. Wie komen er in het voorjaar uit de play-offs? En wanneer is de loting eigenlijk? Veel vragen en lle antwoorden.","Nu het Nederlands elftal <extra_id_0> in zes jaar <extra_id_1> een eindtoernooi kan het grote aftellen beginnen. Maar hoe ziet het traject naar de openingswedstrijd van het <extra_id_2> juni 2020 in Rome, er eigenlijk uit? Wanneer speelt Oranje? Welke landen zijn al zeker van Euro2020. Wie komen er in het voorjaar uit de play-offs? En wanneer is de loting eigenlijk? Veel vragen en lle antwoorden.","['zich voor het eerst', 'eens heeft geplaatst voor', 'EK, op 12']",11,7
"Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, mooiste en opvallendste posts van BNers en celebrities","Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek <extra_id_0> redactie het <extra_id_1> af voor de gekste, mooiste en opvallendste posts van BNers en celebrities","['Regiobytes struint de', 'web voor je']",6,7
" Utrecht staat vierde, Heerenveen achtste  Advocaat bezig aan goede serie bij Utrecht  Scheidsrechter is Van de Graaf","Utrecht staat vierde, Heerenveen achtste Advocaat <extra_id_0> serie bij Utrecht Scheidsrechter is Van de Graaf",['bezig aan goede'],3,7
In de rubriek Van wieg tot graf vertellen we het verhaal achter een familiebericht. Deze keer het levensverhaal van,In de rubriek Van wieg <extra_id_0> we het verhaal achter een familiebericht. Deze keer het levensverhaal van,['tot graf vertellen'],3,7
"Hoewel de sport steeds meer wordt opgestart, houdt het coronavirus een ijzeren greep op de sportwereld.","Hoewel de sport steeds meer wordt opgestart, <extra_id_0> coronavirus een ijzeren greep op de sportwereld.",['houdt het'],2,7
"De zware jongens halen de voorpagina's, de boefjes niet. Serena Hofman doet elke week verslag van een doodnormale rechtszaak.",De zware jongens halen de <extra_id_0> niet. Serena Hofman doet elke week verslag van een doodnormale rechtszaak.,"[""voorpagina's, de boefjes""]",3,7
In Gelukkig kunnen we nog... geven verschillende (bekende) Nederlanders vanuit eigen expertise in vlog-vorm tips over wat je in deze thuiswerk-situatie nog wl kunt doen.,In Gelukkig kunnen <extra_id_0> (bekende) Nederlanders vanuit eigen expertise in vlog-vorm tips over wat je in deze thuiswerk-situatie nog wl kunt doen.,['we nog... geven verschillende'],4,7
Het AD brengt iedere week op donderdag recensies van films die in premire gaan. Deze keer: het drama,Het AD brengt iedere week <extra_id_0> van films die in premire gaan. Deze keer: het drama,['op donderdag recensies'],3,7
"Nu mensen meer en meer via internet bestellen, verschijnen ze steeds vaker in het straatbeeld: bezorgers. In deze serie geeft Ryan Poll acht bezorgers in het Groene Hart een gezicht. Vandaag:","Nu mensen meer en meer via internet bestellen, verschijnen ze steeds vaker in het straatbeeld: bezorgers. In deze <extra_id_0> acht bezorgers in het Groene Hart een gezicht. Vandaag:",['serie geeft Ryan Poll'],5,7
"Elke week recenseert het AD Utrechts Nieuwsblad een van de vele restaurants in de provincie Utrecht. Marco Bosmans beoordeelt het restaurant aan de hand van het voor-, hoofd- en nagerecht, de bediening, sfeer en prijs-kwaliteit. Deze week eet hij bij","Elke week recenseert het AD Utrechts Nieuwsblad een van de vele restaurants in de provincie Utrecht. Marco Bosmans beoordeelt het restaurant aan de hand van het voor-, <extra_id_0> de bediening, sfeer <extra_id_1> week eet hij bij","['hoofd- en nagerecht,', 'en prijs-kwaliteit. Deze']",6,7
De winterse transfercarrousel draait alweer op volle toeren. In TransferTalk houden we alle geruchten en voltooide transfers van deze maand bij. Mis niets in deze rubriek.,De winterse transfercarrousel draait alweer op volle toeren. In TransferTalk houden we alle geruchten en voltooide transfers <extra_id_0> Mis niets in deze rubriek.,['van deze maand bij.'],4,7
De nieuwsberichten over het coronavirus volgen elkaar in een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Met vandaag,De nieuwsberichten over het <extra_id_0> een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Met vandaag,['coronavirus volgen elkaar in'],4,7
". Een deel van het havengebied is weggevaagd, het dodental loopt in rap tempo op en de ziekenhuizen zitten overvol.",". Een deel van het havengebied is weggevaagd, het dodental loopt in rap <extra_id_0> de ziekenhuizen zitten overvol.",['tempo op en'],3,7
Deze zomer publiceren we in de late uurtjes op deze site onze best gelezen artikelen van dit jaar. Dit artikel verscheen eerder op,Deze zomer publiceren we in de late uurtjes op deze site onze best gelezen artikelen van dit jaar. <extra_id_0> eerder op,['Dit artikel verscheen'],3,7
een 'vette vis' binnen? Een selectie van onwerkelijke speculaties tot concrete aanbiedingen in een dagelijkse rubriek: TransferTalk.,een 'vette vis' binnen? Een selectie <extra_id_0> tot concrete aanbiedingen in een dagelijkse rubriek: TransferTalk.,['van onwerkelijke speculaties'],3,7
"Journalist Sammy Shawky schrijft over de leukste, nieuwste, gekste en meest trendy winkels in de regio Utrecht. Vandaag:","Journalist Sammy Shawky schrijft <extra_id_0> nieuwste, gekste en meest trendy winkels in de regio Utrecht. Vandaag:","['over de leukste,']",3,7
"Korte updates van de sterren op Facebook, Twitter, Instagram en Snapchat: wij smullen ervan. In de rubriek Showbytes struint de showredactie het web voor je af voor de gekste, mooiste en opvallendste posts van BN'ers en celebrities. Dit artikel wordt gedurende de dag vernieuwd. 1","Korte updates van <extra_id_0> Twitter, Instagram en Snapchat: wij smullen ervan. In de rubriek Showbytes struint de showredactie <extra_id_1> je af voor de gekste, mooiste en opvallendste posts van BN'ers en celebrities. Dit artikel wordt gedurende de dag vernieuwd. 1","['de sterren op Facebook,', 'het web voor']",7,7
"Pieter Hulst en Gijs Groenteman ontleden teksten van Nederlandstalige hits. Ze geven antwoorden op prangende vragen die de nummers oproepen. Komen ze er zelf niet uit, dan roepen ze de hulp in van de wetenschap. Vandaag","Pieter Hulst en Gijs Groenteman ontleden teksten van Nederlandstalige hits. Ze geven antwoorden op prangende vragen die de nummers <extra_id_0> zelf niet uit, dan roepen ze de hulp in van de wetenschap. Vandaag",['oproepen. Komen ze er'],5,7
In aanloop naar 75 jaar bevrijding blikt deze krant terug op gebeurtenissen uit de laatste maanden van de oorlog. Vandaag deel,In aanloop naar 75 <extra_id_0> deze krant terug op gebeurtenissen uit de laatste maanden van de oorlog. Vandaag deel,['jaar bevrijding blikt'],3,7
Het kabinet heeft in verband met het coronavirus drastische maatregelen genomen. Dit heeft ook gevolgen voor de regio Rivierenland. Volg de ontwikkelingen in de regio in ons blog. In ons dossier vind je alle artikelen over het coronavirus in de regio Rivierenland. Mist u iets? Tip de redactie: rl.redactie@ad.nl. 1,Het kabinet heeft in verband <extra_id_0> maatregelen genomen. Dit heeft ook gevolgen voor de regio Rivierenland. Volg de ontwikkelingen <extra_id_1> ons blog. In ons dossier vind je alle artikelen over het coronavirus in de regio Rivierenland. Mist u iets? Tip de redactie: rl.redactie@ad.nl. 1,"['met het coronavirus drastische', 'in de regio in']",8,7
"Het voetbal in alle grote competities ligt dan wel stil, maar ondanks deze idiote periode gaan de zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij.","Het voetbal in alle grote <extra_id_0> stil, maar ondanks deze idiote periode gaan de zaken en vooral de transfergeruchten gewoon door. In TransferTalk houden we alle geruchten bij.",['competities ligt dan wel'],5,7
Journalist Monica Beek (42) schrijft wekelijks voor Magazine over haar leven. Ze woont samen met haar dochters van 11 en 8 en heeft een vriend.,Journalist Monica Beek <extra_id_0> Magazine over haar leven. Ze woont samen met haar dochters van 11 en 8 en heeft een vriend.,['(42) schrijft wekelijks voor'],4,7
Turkije stopt de komende vijf dagen met de opmars in Syri. De Turkse president Recep Erdogan en de Amerikaanse vicepresident Mike Pence zijn,Turkije <extra_id_0> vijf dagen met de opmars in Syri. De Turkse president Recep Erdogan en de Amerikaanse vicepresident Mike Pence zijn,['stopt de komende'],3,7
De transfermarkt is halverwege weer een rumoerige periode. Nog ruim zes weken draait de carrousel op volle toeren. Mis in onze rubriek TransferTalk niets van alle geruchten en voltooide transfers.,De transfermarkt is halverwege weer een rumoerige periode. Nog ruim zes weken draait de carrousel op volle toeren. Mis in onze rubriek TransferTalk niets van alle <extra_id_0>,['geruchten en voltooide transfers.'],4,7
station scoort zwaar ondermaats en bungelt onderaan de lijst van stations in Nederland die goed scoren op het gebied van punctualiteit.,station scoort zwaar ondermaats en bungelt onderaan de <extra_id_0> in Nederland die goed scoren op het gebied van punctualiteit.,['lijst van stations'],3,7
"De Chinese geheime dienst is betrokken bij het hacken van overheidsinstanties en bedrijven in Nederland. APT10, een hackersgroep gelinkt aan het Chinese ministerie voor Staatsveiligheid, wordt verantwoordelijk gehouden voor vele hackpogingen in een aantal westerse landen, waaronder Nederland.","<extra_id_0> dienst is betrokken bij het hacken van overheidsinstanties en bedrijven in Nederland. APT10, een hackersgroep gelinkt aan het <extra_id_1> Staatsveiligheid, wordt verantwoordelijk gehouden voor vele hackpogingen in een aantal westerse landen, waaronder Nederland.","['De Chinese geheime', 'Chinese ministerie voor']",6,7
"De Rotterdamse trouwstoetmepper. Shahid B. (26) moet anderhalf jaar de cel in, waarvan een half jaar voorwaardelijk voor de poging tot zware mishandeling van politieman Ge",De Rotterdamse trouwstoetmepper. Shahid B. (26) moet anderhalf <extra_id_0> waarvan een half jaar voorwaardelijk voor de poging tot zware mishandeling van politieman Ge,"['jaar de cel in,']",4,7
In de rubriek Sportbytes houden we in de gaten wat bekende sporters meemaken n delen op sociale media. Dit artikel wordt gedurende de dag vernieuwd.,In de rubriek Sportbytes houden we in de gaten wat bekende sporters meemaken n delen op <extra_id_0> wordt gedurende de dag vernieuwd.,['sociale media. Dit artikel'],4,7
"Zieke mensen die bewusteloos op straat liggen, een ongeziene chaos in ziekenhuizen, hulpverleners in beschermende pakken die handen tekortkomen: de beelden die op sociale media circuleren van de toestand in de Chinese miljoenenstad Wuhan zijn zeer verontrustend. Het coronavirus heeft al 41 doden geist, meer dan 1300 mensen zijn besmet geraakt.","Zieke mensen die bewusteloos op straat liggen, een <extra_id_0> hulpverleners in beschermende pakken die handen tekortkomen: de beelden die op sociale media circuleren van de toestand in de Chinese miljoenenstad Wuhan zijn zeer verontrustend. Het coronavirus heeft al 41 doden <extra_id_1> mensen zijn besmet geraakt.","['ongeziene chaos in ziekenhuizen,', 'geist, meer dan 1300']",8,7
". De leider van Forum voor Democratie heeft volgens critici de schijn tegen, mede door zijn flirts met extreemrechtse theorien.",". De leider <extra_id_0> Democratie heeft volgens critici de schijn tegen, mede door zijn flirts met extreemrechtse theorien.",['van Forum voor'],3,7
Elk weekeinde bruist het van grote en kleine evenementen in stad en regio. In de rubriek Het was fantastisch! bezoeken we een van deze activiteiten. Deze,Elk weekeinde bruist het van <extra_id_0> in stad en regio. In de rubriek Het was fantastisch! bezoeken we een van deze activiteiten. Deze,['grote en kleine evenementen'],4,7
Voor de rubriek Mijn Allessie gaan verslaggever Anouk Mentink en fotograaf Daniella van Bergen langs bij bekende mensen en hun partner. Deze keer:,Voor de rubriek Mijn Allessie gaan verslaggever Anouk <extra_id_0> Daniella van Bergen langs bij bekende mensen en hun partner. Deze keer:,['Mentink en fotograaf'],3,7
"Korte updates van de sterren op Facebook, Twitter, Instagram en Snapchat - wij smullen ervan. In de rubriek Showbytes struint de showredactie het web voor je af voor de gekste, mooiste en opvallendste posts van BN'ers en celebrity's. Dit artikel wordt gedurende de dag vernieuwd. 1","Korte updates van de sterren <extra_id_0> Instagram <extra_id_1> smullen ervan. In de rubriek Showbytes struint de showredactie het web voor je af voor de gekste, mooiste en opvallendste posts van BN'ers en celebrity's. Dit artikel wordt gedurende de dag vernieuwd. 1","['op Facebook, Twitter,', 'en Snapchat - wij']",7,7
Een van de vermoedelijke moordmakelaars van Ridouan Taghi werkte aan een televisieprogramma voor RTL/Videoland,Een van de vermoedelijke moordmakelaars <extra_id_0> Taghi werkte aan een televisieprogramma voor RTL/Videoland,['van Ridouan'],2,7
ochtend overleden na een frontale botsing met een RET-bus aan de Vondelingenweg in Rotterdam-Pernis. De,ochtend overleden na een frontale botsing met een RET-bus <extra_id_0> Vondelingenweg in Rotterdam-Pernis. De,['aan de'],2,7
t vandaag voor de rechter voor onder meer het aanraden van vrouwenbesnijdenis. In Nederland is dat strafbaar. De Hagenaar (32) wordt door het Openbaar Ministerie vervolgd voor opruiing en aanzetten tot geweld tegen vrouwen.,t vandaag voor de rechter voor onder meer het aanraden van <extra_id_0> dat strafbaar. De Hagenaar (32) wordt door het Openbaar Ministerie vervolgd voor opruiing en aanzetten tot geweld tegen vrouwen.,['vrouwenbesnijdenis. In Nederland is'],5,7
In iedere Rotterdammer schuilt een uniek relaas. Wekelijks tekent verslaggever Marcel Wijnstekers zon levensverhaal op.,In iedere Rotterdammer schuilt een uniek relaas. Wekelijks tekent verslaggever Marcel <extra_id_0> levensverhaal op.,['Wijnstekers zon'],2,7
"<a href=""https://twitter.com/hashtag/Feyenoord?src=hash&amp;ref_src=twsrc%5Etfw"">#Feyenoord</a> <a href=""https://t.co/","<a href=""https://twitter.com/hashtag/Feyenoord?src=hash&amp;ref_src=twsrc%5Etfw"">#Feyenoord</a> <a href=""https://t.co/",[],1,7
Mag dat?Wat vertel je wel of niet aan je baas? Wat zijn je rechten als werknemer? Hoe los je lastige kwesties het beste op? In deze rubriek wekelijks advies bij dilemma's op de werkvloer. Aflevering,Mag dat?Wat vertel je wel of <extra_id_0> Wat zijn je rechten als werknemer? Hoe los je lastige kwesties het beste op? In deze rubriek wekelijks advies bij dilemma's op de werkvloer. Aflevering,['niet aan je baas?'],5,7
"Nynke de Jong, Hanneke Hendrix en Alex van der Hulst schrijven per toerbeurt over zaken die het leven van jonge ouders gemakkelijker moeten maken. Hanneke","Nynke de Jong, Hanneke Hendrix en Alex van der Hulst schrijven per toerbeurt over zaken die het leven <extra_id_0> moeten maken. Hanneke",['van jonge ouders gemakkelijker'],4,7
"l. Maar omdat er wel gegeten moet worden, doen we deze weken een beroep op keukens met bezorgservice.","l. Maar omdat er wel gegeten moet worden, doen we <extra_id_0> beroep op keukens met bezorgservice.",['deze weken een'],3,7
"Korte updates van de sterren op Facebook, Twitter, Instagram en Snapchat: wij smullen ervan. In de rubriek Showbytes struint de showredactie het web voor je af voor de gekste, mooiste en opvallendste posts van BN'ers en celebrities. Dit artikel wordt gedurende de dag vernieuwd.","Korte updates van de sterren <extra_id_0> Instagram en Snapchat: wij smullen ervan. In de rubriek Showbytes struint de showredactie het web voor je af voor de gekste, mooiste en opvallendste posts <extra_id_1> Dit artikel wordt gedurende de dag vernieuwd.","['op Facebook, Twitter,', ""van BN'ers en celebrities.""]",7,7
In de rubriek Hoe is het nu met? zoeken we mensen op die een rol speelden in het nieuws van een of meerdere jaren geleden. Hoe gaat het nu met ze? Vandaag:,In de rubriek Hoe is het nu met? zoeken we mensen op die een <extra_id_0> nieuws van een of meerdere jaren geleden. Hoe gaat het nu met ze? Vandaag:,['rol speelden in het'],5,7
e. Een auto was via de middenberm op de verkeerde weghelft terechtgekomen en botste daar op tegemoetkomend verkeer. Aanvankelijk leek het erop dat er sprake was van een spookrijder.,e. Een auto was via de middenberm op de verkeerde weghelft terechtgekomen en botste daar op tegemoetkomend verkeer. Aanvankelijk leek het erop dat er <extra_id_0> spookrijder.,['sprake was van een'],4,7
"Tijdens de zomer is er overal in Zeeland van alles te doen, zien en beleven. Wij zetten elke dag een aantal tips voor je op een rij, met dank aan VVV Zeeland.","Tijdens de zomer is er overal in Zeeland van alles te doen, zien en beleven. Wij zetten elke dag een aantal tips <extra_id_0> rij, met dank aan VVV Zeeland.",['voor je op een'],5,7
"Hoewel de sport steeds meer wordt opgestart, houdt het coronavirus een ijzeren greep op de sportwereld. In dit liveblog houden we al het nieuws gedurende dag bij.","Hoewel de sport steeds meer wordt opgestart, houdt het coronavirus een ijzeren greep op de sportwereld. In dit liveblog houden we al het nieuws <extra_id_0>",['gedurende dag bij.'],4,7
Het is minister Sander Dekker een doorn in het oog dat veroordeelden zoals Volkert van der Graaf gemakkelijk onder voorwaarden vrij kunnen komen. Daarmee reageert hij op het nieuws dat Volkert niet is gemigreerd en ook geen plannen lijkt te hebben.,Het is minister Sander Dekker een doorn <extra_id_0> dat veroordeelden zoals Volkert van der Graaf gemakkelijk onder voorwaarden vrij <extra_id_1> reageert hij op het nieuws dat Volkert niet is gemigreerd en ook geen plannen lijkt te hebben.,"['in het oog', 'kunnen komen. Daarmee']",6,7
"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands. 17:","De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is <extra_id_0> League A <extra_id_1> deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands. 17:","['het programma in', 'en League B van']",7,7
"<a href=""https://twitter.com/hashtag/OnzeJacht?src=hash&amp;ref_src=twsrc%5Etfw"">#OnzeJacht</a> <a href=""https://t","<a href=""https://twitter.com/hashtag/OnzeJacht?src=hash&amp;ref_src=twsrc%5Etfw"">#OnzeJacht</a> <a href=""https://t",[],1,7
chter de schermenHoofdredacteur Paul van den Bosch beschrijft elke week waar de AD-redacties mee bezig zijn.,chter <extra_id_0> Paul van den Bosch beschrijft elke week waar de AD-redacties mee bezig zijn.,['de schermenHoofdredacteur'],2,7
De transferperiode in Europa is alweer een dikke week geopend. Mis de komende maanden niets van alle geruchten en voltooide transfers in onze dagelijkse rubriek TransferTalk.,De transferperiode in Europa is alweer een dikke week geopend. Mis de komende maanden niets <extra_id_0> voltooide transfers in onze dagelijkse rubriek TransferTalk.,['van alle geruchten en'],4,7
"In de maand januari maken we een Frisse Start. Hierbij willen we bewuster eten, maar vooral blijven genieten. Test je kennis over voeding door onze Frisse Start-quizvragen te beantwoorden. Vandaag:","In de maand januari maken we een Frisse Start. Hierbij willen we bewuster eten, maar vooral blijven genieten. Test je kennis over voeding door <extra_id_0> beantwoorden. Vandaag:",['onze Frisse Start-quizvragen te'],4,7
"twee weken opent de winterse transferperiode, maar al ver voor 1 januari is het spel op de wagen. Mis in onze dagelijkse rubriek TransferTalk tot en met de laatste dag van januari niets van alle geruchten en voltooide transfers.","twee weken opent de winterse transferperiode, maar <extra_id_0> 1 januari is het spel op de wagen. Mis in onze dagelijkse rubriek TransferTalk tot en met de laatste dag van januari niets van alle <extra_id_1> transfers.","['al ver voor', 'geruchten en voltooide']",6,7
" la maison!, zegt hij. Ook wordt Nederlanders die per vliegtuig aankomen vanuit de Verenigde Staten gevraagd om vanaf nu twee weken in thuisquarantaine te gaan.","la maison!, zegt hij. Ook wordt Nederlanders die per vliegtuig <extra_id_0> Staten gevraagd om vanaf nu twee weken in thuisquarantaine te gaan.",['aankomen vanuit de Verenigde'],4,7
In de rubriek Hoe is het nu met? zoeken we mensen op die een rol speelden in het nieuws van een of meerdere jaren geleden. Hoe gaat het nu met ze? Vandaag:,In de rubriek Hoe is het nu met? zoeken we mensen op die een rol speelden in het nieuws van een of meerdere jaren <extra_id_0> nu met ze? Vandaag:,['geleden. Hoe gaat het'],5,7
Columniste en journaliste Marieke Dubbelman schrijft op maandag en zaterdag over zaken in Utrecht of de regio die haar zijn opgevallen. Dit keer over,Columniste en journaliste Marieke Dubbelman schrijft op maandag en zaterdag over zaken in Utrecht of de regio <extra_id_0> Dit keer over,['die haar zijn opgevallen.'],4,7
"Ons panel van deskundigen beantwoordt al je persoonlijke vragen. Over lijf en leden, hart en ziel. Ook een vraag? Mail naar zo@dpgmedia.nl. Deze week antwoord op de vraag:","Ons panel van deskundigen beantwoordt al je persoonlijke vragen. Over lijf en leden, hart en ziel. Ook een <extra_id_0> Deze week antwoord op de vraag:",['vraag? Mail naar zo@dpgmedia.nl.'],4,7
Ernest van der Kwast schrijft elke maand een ode aan gewone Rotterdammers die deze stad draaiende houden. Deze keer,Ernest van der Kwast schrijft <extra_id_0> ode aan gewone Rotterdammers die deze stad draaiende houden. Deze keer,['elke maand een'],3,7
". <a href=""https://twitter.com/Politie_Adam?ref_src=twsrc%5Etfw"">@Politie_Adam</a> <a href=""https://t",". <a href=""https://twitter.com/Politie_Adam?ref_src=twsrc%5Etfw"">@Politie_Adam</a> <a href=""https://t",[],1,7
"Nog een kleine twee weken en dan sluit de winterse transfermarkt alweer. Wie nog gaten moet dichten in de defensie of een goaltjesdief zoekt, moet stilaan haast maken. In TransferTalk houden we dagelijks alle geruchten en voltooide transfers bij.","<extra_id_0> twee weken en dan sluit de winterse transfermarkt alweer. Wie nog gaten moet dichten in de defensie of een goaltjesdief zoekt, moet stilaan haast maken. In TransferTalk houden we dagelijks alle <extra_id_1> transfers bij.","['Nog een kleine', 'geruchten en voltooide']",6,7
"dagen... en dan zetten honderden Dordtenaren zich voor het vijfde jaar op rij in voor het goede doel, tijdens de Swim to Fight Cancer. AD De Dordtenaar telt af naar de eerste lustrumeditie van het evenement en stelt deelnemers vijf vragen. Vandaag:","dagen... en dan zetten honderden Dordtenaren zich voor het <extra_id_0> rij in voor het goede doel, tijdens de Swim to Fight Cancer. AD De Dordtenaar telt af naar de eerste lustrumeditie <extra_id_1> en stelt deelnemers vijf vragen. Vandaag:","['vijfde jaar op', 'van het evenement']",6,7
"Volkert van der Graaf, de moordenaar van Pim Fortuyn, is niet gemigreerd en leeft nog gewoon in Apeldoorn en Harderwijk. Hij lijkt ook geen concreet plan te hebben om naar het buitenland te vertrekken. Dat blijkt uit informatie van het Openbaar Ministerie en gesprekken die de Stentor de afgelopen maanden voerde met bekenden van Van der Graaf.","Volkert van der Graaf, de moordenaar van Pim Fortuyn, is niet gemigreerd en leeft nog <extra_id_0> en Harderwijk. Hij lijkt ook geen concreet plan te hebben om <extra_id_1> te vertrekken. Dat blijkt uit informatie van het Openbaar Ministerie en gesprekken die de Stentor de afgelopen maanden voerde met bekenden van <extra_id_2>","['gewoon in Apeldoorn', 'naar het buitenland', 'Van der Graaf.']",9,7
Rob Acket (foto) en Marion van der Voort (tekst) spreken Amersfoorters die bekend zijn van hun jarenlange werk in de horeca. Vandaag:,Rob Acket (foto) en Marion <extra_id_0> (tekst) spreken Amersfoorters die bekend zijn van hun jarenlange werk in de horeca. Vandaag:,['van der Voort'],3,7
