Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg),Title
seq263-0,base,"Korte maar hevige buien hebben schade veroorzaakt aan druivenplanten in wijnvelden bij Bordeaux. Vooral wijnvelden rond Blaye en Bourg maar ook enkele in de Haut-Mdoc zijn getroffen, melden Franse media.","Korte maar hevige buien hebben schade veroorzaakt aan druivenplanten <extra_id_0> Vooral wijnvelden rond Blaye en Bourg maar ook enkele in de Haut-Mdoc zijn getroffen, melden Franse media.","Korte maar hevige buien hebben schade veroorzaakt aan druivenplanten Vooral wijnvelden rond Blaye en Bourg maar ook enkele in de Haut-Mdoc zijn getroffen, melden Franse media.",['in wijnvelden bij Bordeaux.'],[''],4,15,6,[1.0],1.0,ad
seq264-0,base," De wedstrijd staat onder leiding van de Griek Tasos Sidiropoulos  PSV won afgelopen weekend overtuigend van ADO Den Haag (0-7), FC Barcelona","De wedstrijd staat onder leiding van <extra_id_0> Sidiropoulos PSV won afgelopen weekend overtuigend van ADO Den Haag (0-7), FC Barcelona","De wedstrijd staat onder leiding van Dimitris Sidiropoulos PSV won afgelopen weekend overtuigend van ADO Den Haag (0-7), FC Barcelona",['de Griek Tasos'],['Dimitris'],3,15,6,[0.8571428571428571],0.86,ad
seq265-0,base,Journaliste Lisanne van Sadelhoff schrijft elke week over haar leven in de stad Utrecht. Dit keer over,Journaliste Lisanne van Sadelhoff schrijft elke week over haar leven in de <extra_id_0> keer over,Journaliste Lisanne van Sadelhoff schrijft elke week over haar leven in de media. Dit keer over,['stad Utrecht. Dit'],['media. Dit'],3,15,6,[0.6470588235294118],0.65,ad
seq266-0,base,"De eerste tientallen boeren zijn vrijdagochtend gearriveerd op de Dam in Amsterdam. Daarvoor trokken ze, vooral tijdens het laatste deel van de rit, toeterend door de hoofdstad. ,,Met name het laatste stuk hebben we Amsterdam wel wakker gemaakt, zegt een woordvoerder van organisator Agractie Nederland.","De eerste tientallen boeren zijn vrijdagochtend gearriveerd op de Dam in Amsterdam. Daarvoor trokken ze, vooral tijdens het laatste deel van de rit, <extra_id_0> hoofdstad. ,,Met name het laatste stuk hebben we Amsterdam wel wakker gemaakt, zegt een woordvoerder <extra_id_1>","De eerste tientallen boeren zijn vrijdagochtend gearriveerd op de Dam in Amsterdam. Daarvoor trokken ze, vooral tijdens het laatste deel van de rit, door de hoofdstad. ,,Met name het laatste stuk hebben we Amsterdam wel wakker gemaakt, zegt een woordvoerder van de boeren.","['toeterend door de', 'van organisator Agractie Nederland.']","['door de', 'boeren.']",7,15,6,"[0.5882352941176471, 0.8571428571428571]",0.72,ad
seq267-0,base,Ook na de coronapiek blijven we buiten anderhalve meter afstand houden. Dat denkt bijna twee derde van de deelnemers aan een peiling over het leven na corona. In,Ook na de coronapiek blijven we buiten anderhalve meter afstand houden. Dat denkt bijna twee derde <extra_id_0> een peiling over het leven na corona. In,Ook na de coronapiek blijven we buiten anderhalve meter afstand houden. Dat denkt bijna twee derde Nederlanders. Lees hier een peiling over het leven na corona. In,['van de deelnemers aan'],['Nederlanders. Lees hier'],4,15,6,[0.782608695652174],0.78,ad
seq268-0,base,"ervaringsdeskundigen, experts en commentatoren over deze stelling en andere thema's die ons land na de pandemie bepalen.","ervaringsdeskundigen, experts en commentatoren over deze stelling en andere thema's die ons land na <extra_id_0>","ervaringsdeskundigen, experts en commentatoren over deze stelling en andere thema's die ons land na liggen.",['de pandemie bepalen.'],['liggen.'],3,15,6,[0.8],0.8,ad
seq269-0,base,ag op zeer korte termijn laten testen bij een GGD in de buurt. Via een nieuw gratis landelijk telefoonnummer kan een afspraak voor de volgende dag worden gemaakt.,<extra_id_0> termijn laten testen bij een GGD in de buurt. Via een nieuw gratis landelijk telefoonnummer kan een afspraak voor de volgende dag worden gemaakt.,op termijn laten testen bij een GGD in de buurt. Via een nieuw gratis landelijk telefoonnummer kan een afspraak voor de volgende dag worden gemaakt.,['ag op zeer korte'],['op'],4,15,6,[0.875],0.88,ad
seq270-0,base,Een 34-jarige vrouw is in de nacht van zaterdag op zondag in Ter Aar onder verdachte omstandigheden om het leven gekomen. Haar 46-jarige partner is aangehouden. Hij wordt verhoord over zijn mogelijke betrokkenheid bij de dood van zijn vrouw. De drie dochters van het gezin zijn tijdelijk elders opgevangen.,Een 34-jarige vrouw is in de nacht van zaterdag op zondag in Ter Aar <extra_id_0> om het leven gekomen. Haar 46-jarige partner is aangehouden. Hij wordt verhoord over zijn mogelijke betrokkenheid bij de dood van zijn <extra_id_1> van het gezin zijn tijdelijk elders opgevangen.,Een 34-jarige vrouw is in de nacht van zaterdag op zondag in Ter Aar in Utrecht om het leven gekomen. Haar 46-jarige partner is aangehouden. Hij wordt verhoord over zijn mogelijke betrokkenheid bij de dood van zijn vrouw. De leden van het gezin zijn tijdelijk elders opgevangen.,"['onder verdachte omstandigheden', 'vrouw. De drie dochters']","['in Utrecht', 'vrouw. De leden']",7,15,6,"[0.8, 0.43478260869565216]",0.62,ad
seq271-0,base,.  Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,. <extra_id_0> DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,. DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,['Maartje Brockbernd VAN'],[''],3,15,6,[1.0],1.0,ad
seq272-0,base,Geraakt door coronaIn een serie verhalen vertellen mensen hoe zij worden geraakt door de coronacrisis. Vandaag:,<extra_id_0> coronaIn een serie verhalen vertellen mensen hoe zij worden geraakt door de coronacrisis. Vandaag:,over coronaIn een serie verhalen vertellen mensen hoe zij worden geraakt door de coronacrisis. Vandaag:,['Geraakt door'],['over'],2,15,6,[0.9166666666666666],0.92,ad
seq273-0,base,vandaag vanuit de regio naar Den Haag om te protesteren tegen de stikstofmaatregelen van het kabinet. Verslaggever Ilse van Driel g,<extra_id_0> regio naar Den Haag om te protesteren tegen de stikstofmaatregelen van het kabinet. Verslaggever Ilse van Driel g,vanuit de regio naar Den Haag om te protesteren tegen de stikstofmaatregelen van het kabinet. Verslaggever Ilse van Driel g,['vandaag vanuit de'],['vanuit de'],3,15,6,[0.47058823529411764],0.47,ad
seq274-0,base,) is uit de race gestapt bij de Democraten voor het presidentschap van de Verenigde Staten. Hij maakte dat van,) is uit de race gestapt bij de Democraten voor het presidentschap van de <extra_id_0> maakte dat van,) is uit de race gestapt bij de Democraten voor het presidentschap van de nieuwe president. In 2014 maakte dat van,['Verenigde Staten. Hij'],['nieuwe president. In 2014'],3,15,6,[0.76],0.76,ad
seq275-0,base,Columniste en journaliste Marieke Dubbelman schrijft op maandag en zaterdag over zaken in Utrecht of de regio die haar zijn opgevallen. Dit keer over de,Columniste en journaliste Marieke Dubbelman schrijft op maandag en zaterdag over <extra_id_0> de regio die haar zijn opgevallen. Dit keer over de,Columniste en journaliste Marieke Dubbelman schrijft op maandag en zaterdag over de kranten in de regio die haar zijn opgevallen. Dit keer over de,['zaken in Utrecht of'],['de kranten in'],4,15,6,[0.7368421052631579],0.74,ad
seq276-0,base,"opgepakt bij het Belgische festival Tomorrowland en verblijft momenteel in een Vlaamse cel, meldt de Gazet van Antwerpen. Volgens de krant had de actrice verschillende soorten drugs bij zich en werd er tijdens een huiszoeking op haar verblijfadres nog meer gevonden. Haar advocaat spreekt van een zeer fout gelopen experiment.",opgepakt bij het Belgische festival Tomorrowland en verblijft momenteel in een Vlaamse <extra_id_0> van <extra_id_1> had de actrice verschillende soorten drugs bij zich en werd er tijdens een huiszoeking op haar verblijfadres nog meer gevonden. Haar advocaat spreekt van een zeer fout gelopen experiment.,opgepakt bij het Belgische festival Tomorrowland en verblijft momenteel in een Vlaamse ambassade. In de loop van de nacht had de actrice verschillende soorten drugs bij zich en werd er tijdens een huiszoeking op haar verblijfadres nog meer gevonden. Haar advocaat spreekt van een zeer fout gelopen experiment.,"['cel', 'meldt de Gazet', 'Antwerpen. Volgens de krant']","['ambassade. In de loop', 'de nacht']",8,15,6,"[0.9047619047619048, 0.6428571428571429]",0.77,ad
seq277-0,base,Leo van der Velde schrijft wekelijks een brief aan kleindochter Rachel (6) waarin hij haar vertelt over het Den Haag van toen.,Leo van der Velde schrijft wekelijks <extra_id_0> kleindochter Rachel (6) waarin hij haar vertelt over het Den Haag van toen.,Leo van der Velde schrijft wekelijks een column over kleindochter Rachel (6) waarin hij haar vertelt over het Den Haag van toen.,['een brief aan'],['een column over'],3,15,6,[0.6666666666666666],0.67,ad
seq278-0,base,"De Turn on the Lights lichtshow, die ieder jaar door de Bijenkorf wordt georganiseerd als startschot van het feestseizoen, gaat niet door.","De Turn on the Lights lichtshow, die ieder jaar door de Bijenkorf <extra_id_0> startschot van het feestseizoen, gaat niet door.","De Turn on the Lights lichtshow, die ieder jaar door de Bijenkorf komt als startschot van het feestseizoen, gaat niet door.",['wordt georganiseerd als'],['komt als'],3,15,6,[0.7391304347826086],0.74,ad
seq279-0,base,Gezond op de ZaakWerken kan behoorlijk ongezond zijn. Wat klopt er van alle beweringen over gezond werken? Vandaag:,Gezond op de <extra_id_0> ongezond zijn. Wat klopt er van alle beweringen over gezond werken? Vandaag:,Gezond op de achtergrond kan ongezond zijn. Wat klopt er van alle beweringen over gezond werken? Vandaag:,['ZaakWerken kan behoorlijk'],['achtergrond kan'],3,15,6,[0.76],0.76,ad
seq280-0,base,. Op sommige plekken wordt een winterdek van enkele centimeters voorspeld. De KNMI heeft code geel afgekondigd vanaf acht uur,<extra_id_0> plekken wordt een winterdek van enkele centimeters voorspeld. De KNMI heeft code geel afgekondigd vanaf acht uur,op enkele plekken wordt een winterdek van enkele centimeters voorspeld. De KNMI heeft code geel afgekondigd vanaf acht uur,['. Op sommige'],['op enkele'],3,15,6,[0.75],0.75,ad
seq281-0,base,Niek Druijff (42) verruilt het Nederlandse platteland voor Singapore. Als huisman tussen de expats schrijft hij wekelijks over zijn belevenissen. Vandaag:,Niek Druijff (42) verruilt <extra_id_0> voor Singapore. Als huisman tussen de expats schrijft hij wekelijks over zijn belevenissen. Vandaag:,Niek Druijff (42) verruilt zijn roots voor Singapore. Als huisman tussen de expats schrijft hij wekelijks over zijn belevenissen. Vandaag:,['het Nederlandse platteland'],['zijn roots'],3,15,6,[0.8846153846153846],0.88,ad
seq282-0,base,oktober De geallieerde troepen deden er 75 jaar geleden ruim een maand over om de bezetter uit West-Brabant te verdrijven. Hoe verliep die weg naar de bevrijding? Deze kroniek in 36 delen beschrijft het van dag tot dag. Vandaag het,oktober De geallieerde troepen deden er 75 jaar geleden ruim een maand over om de bezetter uit West-Brabant te verdrijven. Hoe <extra_id_0> naar de bevrijding? <extra_id_1> 36 delen beschrijft het van dag tot dag. Vandaag het,oktober De geallieerde troepen deden er 75 jaar geleden ruim een maand over om de bezetter uit West-Brabant te verdrijven. Hoe ging het naar de bevrijding? De geschiedenis van 36 delen beschrijft het van dag tot dag. Vandaag het,"['verliep die weg', 'Deze kroniek in']","['ging het', 'De geschiedenis van']",6,15,6,"[0.8, 0.6842105263157895]",0.74,ad
seq283-0,base,meldingen gedaan van mensen die zijn overleden aan het coronavirus. Het totaal aantal overleden patinten komt daarmee op 1,meldingen gedaan van mensen die zijn overleden aan het coronavirus. Het totaal aantal overleden patinten <extra_id_0> 1,meldingen gedaan van mensen die zijn overleden aan het coronavirus. Het totaal aantal overleden patinten op 1,['komt daarmee op'],['op'],3,15,6,[0.8666666666666667],0.87,ad
seq284-0,base,april Het kabinet heeft in verband met het coronavirus drastische maatregelen genomen. Dit heeft ook gevolgen voor de Drechtsteden. Volg de ontwikkelingen in de regio in ons blog. In ons dossier vind je alle artikelen over het coronavirus in de Drechtsteden. Mist u iets? Tip de redactie: dd.redactie@ad.nl. 0,april Het kabinet heeft in verband met het <extra_id_0> genomen. Dit heeft ook gevolgen voor de Drechtsteden. Volg de ontwikkelingen in de <extra_id_1> In ons dossier vind je alle artikelen over het coronavirus in de Drechtsteden. Mist u iets? Tip de redactie: dd.redactie@ad.nl. 0,april Het kabinet heeft in verband met het coronavirus een besluit genomen. Dit heeft ook gevolgen voor de Drechtsteden. Volg de ontwikkelingen in de Drechtsteden In ons dossier vind je alle artikelen over het coronavirus in de Drechtsteden. Mist u iets? Tip de redactie: dd.redactie@ad.nl. 0,"['coronavirus drastische maatregelen', 'regio in ons blog.']","['coronavirus een besluit', 'Drechtsteden']",7,15,6,"[0.5882352941176471, 0.8888888888888888]",0.74,ad
seq285-0,base,"Wie komt, wie gaat? Wordt de hele selectie verbouwd of volstaat een gerichte aankoop? Kortom, hoe heet wordt de transferzomer bij de eredivisieclubs. Dit artikel wordt in de loop van de dag aangevuld. Vandaag","Wie komt, wie gaat? Wordt de hele selectie verbouwd of volstaat een gerichte aankoop? <extra_id_0> de transferzomer bij de eredivisieclubs. Dit artikel wordt in de loop van de dag aangevuld. Vandaag","Wie komt, wie gaat? Wordt de hele selectie verbouwd of volstaat een gerichte aankoop? Lees hier meer over de transferzomer bij de eredivisieclubs. Dit artikel wordt in de loop van de dag aangevuld. Vandaag","['Kortom', 'hoe heet wordt']",['Lees hier meer over'],5,15,6,[0.8947368421052632],0.89,ad
seq286-0,base,in een kletsnat Utrecht het Centraal Militair Hospitaal op De Uithof heropend. Het pand werd de afgelopen twee jaar verbouwd en uitgebreid.,in een kletsnat Utrecht het Centraal Militair <extra_id_0> Uithof heropend. Het pand werd de afgelopen twee jaar verbouwd en uitgebreid.,in een kletsnat Utrecht het Centraal Militair Museum Uithof heropend. Het pand werd de afgelopen twee jaar verbouwd en uitgebreid.,['Hospitaal op De'],['Museum'],3,15,6,[0.9333333333333333],0.93,ad
seq287-0,base,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (76) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (76) een eind op weg is, <extra_id_0> vragen.","Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (76) een eind op weg is, blijf ik vragen.",['beantwoordt hij uw'],['blijf ik'],3,15,6,[0.8333333333333334],0.83,ad
seq288-0,base,". Er zouden vier gewonden zijn. Ook zou er zijn gevochten. De bestuurder van de auto is aangehouden, samen met een tweede verdachte, een vrouw.",". Er zouden vier gewonden zijn. Ook zou er zijn <extra_id_0> de auto is aangehouden, samen met een tweede verdachte, een vrouw.",". Er zouden vier gewonden zijn. Ook zou er zijn dat de auto is aangehouden, samen met een tweede verdachte, een vrouw.",['gevochten. De bestuurder van'],['dat'],4,15,6,[0.9285714285714286],0.93,ad
seq289-0,base,In het Huisdierenziekenhuis in Honselersdijk is de kattenziekte vastgesteld bij een Britse korthaar. Katteneigenaren moeten oppassen voor deze,In <extra_id_0> Honselersdijk is de kattenziekte vastgesteld bij een Britse korthaar. Katteneigenaren moeten oppassen voor deze,In de buurt van Honselersdijk is de kattenziekte vastgesteld bij een Britse korthaar. Katteneigenaren moeten oppassen voor deze,['het Huisdierenziekenhuis in'],['de buurt van'],3,15,6,[0.8148148148148148],0.81,ad
seq290-0,base,Een witgoudenrandje in deze coronatijden. Het aspergeseizoen is weer gestart. Ook in de verswinkels bij de kwekerijen staat veiligheid op n.,Een witgoudenrandje in deze coronatijden. Het aspergeseizoen is weer gestart. Ook in de verswinkels <extra_id_0> staat veiligheid op n.,Een witgoudenrandje in deze coronatijden. Het aspergeseizoen is weer gestart. Ook in de verswinkels De nieuwe collectie staat veiligheid op n.,['bij de kwekerijen'],['De nieuwe collectie'],3,15,6,[0.7894736842105263],0.79,ad
seq291-0,base,"In online serie Premire deelt filmkenner Dennis Alink wekelijks de beste film- en serietips voor de bioscoop, televisie en video on demand. Met deze week","<extra_id_0> deelt filmkenner Dennis Alink wekelijks de beste film- en serietips voor de bioscoop, televisie en video on demand. Met deze week","Daarnaast deelt filmkenner Dennis Alink wekelijks de beste film- en serietips voor de bioscoop, televisie en video on demand. Met deze week",['In online serie Premire'],['Daarnaast'],4,15,6,[0.9130434782608695],0.91,ad
seq292-0,base,Cabaretier en muzikant Kiki Schippers schrijft elke zaterdag een column over het leven in Woerden. Vandaag schrijft ze over h,Cabaretier en muzikant Kiki Schippers schrijft elke zaterdag een column <extra_id_0> in Woerden. Vandaag schrijft ze over h,Cabaretier en muzikant Kiki Schippers schrijft elke zaterdag een column voor de krant in Woerden. Vandaag schrijft ze over h,['over het leven'],['voor de krant'],3,15,6,[0.7142857142857143],0.71,ad
seq293-0,base,De 67-jarige vader Gerrit-Jan van D. die negen jaar lang met zes kinderen in totale afzondering leefde op een boerderij in Ruinerwold,De 67-jarige vader <extra_id_0> die negen jaar lang met zes kinderen in totale afzondering leefde op een boerderij in Ruinerwold,De 67-jarige vader van de man die negen jaar lang met zes kinderen in totale afzondering leefde op een boerderij in Ruinerwold,['Gerrit-Jan van D.'],['van de man'],3,15,6,[0.8235294117647058],0.82,ad
seq294-0,base,zijn twee handgranaten gevonden. Het pakketje was vastgemaakt aan de witte rolluiken van de zaak. De,zijn twee handgranaten gevonden. Het pakketje was vastgemaakt aan de <extra_id_0> van de zaak. De,zijn twee handgranaten gevonden. Het pakketje was vastgemaakt aan de muur van de zaak. De,['witte rolluiken'],['muur'],2,15,6,[0.9333333333333333],0.93,ad
seq296-0,base,rond 20.10 uur bevrijd uit zijn benarde positie. Het kind is in zorgwekkende toestand naar een ziekenhuis gebracht.,rond <extra_id_0> uit zijn benarde positie. Het kind is in zorgwekkende toestand naar een ziekenhuis gebracht.,rond de middag uit zijn benarde positie. Het kind is in zorgwekkende toestand naar een ziekenhuis gebracht.,['20.10 uur bevrijd'],['de middag'],3,15,6,[0.9411764705882353],0.94,ad
seq297-0,base,"eskundigen die vermeende insulinemoordenaar Rahiied A. (22) hebben onderzocht, adviseren de jonge Rotterdammer tbs met dwangverpleging op te leggen. Dat heeft het Openbaar Ministerie (OM) zojuist tijdens een pro forma-","eskundigen die vermeende insulinemoordenaar Rahiied A. (22) hebben onderzocht, adviseren de jonge Rotterdammer tbs met dwangverpleging op te leggen. Dat heeft het Openbaar Ministerie (OM) <extra_id_0> forma-","eskundigen die vermeende insulinemoordenaar Rahiied A. (22) hebben onderzocht, adviseren de jonge Rotterdammer tbs met dwangverpleging op te leggen. Dat heeft het Openbaar Ministerie (OM) in forma-",['zojuist tijdens een pro'],['in'],4,15,6,[0.9130434782608695],0.91,ad
seq298-0,base,heeft een boete van 2 miljoen euro gekregen van de Autoriteit Financile Marken (AFM). De toezichthouder verwijt de bank bepaalde informatie niet tijdig openbaar gemaakt te hebben.,heeft een boete <extra_id_0> gekregen van de Autoriteit Financile Marken (AFM). De toezichthouder verwijt de bank bepaalde informatie niet tijdig openbaar gemaakt te hebben.,heeft een boete van € 25.000 gekregen van de Autoriteit Financile Marken (AFM). De toezichthouder verwijt de bank bepaalde informatie niet tijdig openbaar gemaakt te hebben.,['van 2 miljoen euro'],['van € 25.000'],4,15,6,[0.7222222222222222],0.72,ad
seq299-0,base,"De Stint mag in de huidige vorm niet meer terug op de openbare weg. Dat schrijft minister Cora van Nieuwenhuizen (Infrastructuur) vandaag aan de Tweede Kamer. Uit het onderzoek van TNO, dat vanmorgen wordt gepresenteerd, blijkt dat de elektrische bolderkar niet veilig genoeg is voor personenvervoer.","<extra_id_0> de huidige vorm <extra_id_1> op de openbare weg. Dat schrijft minister Cora van Nieuwenhuizen (Infrastructuur) vandaag aan de Tweede Kamer. Uit het onderzoek van TNO, dat vanmorgen wordt gepresenteerd, blijkt dat de elektrische bolderkar niet veilig genoeg is voor personenvervoer.","van de huidige vorm van bolderkar op de openbare weg. Dat schrijft minister Cora van Nieuwenhuizen (Infrastructuur) vandaag aan de Tweede Kamer. Uit het onderzoek van TNO, dat vanmorgen wordt gepresenteerd, blijkt dat de elektrische bolderkar niet veilig genoeg is voor personenvervoer.","['De Stint mag in', 'niet meer terug']","['van', 'van bolderkar']",7,15,6,"[0.8666666666666667, 0.8666666666666667]",0.87,ad
seq300-0,base,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,Fotograaf Nico Brons en verslaggever Wichard Maassen <extra_id_0> een kijkje achter het nieuws. Vandaag:,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen een kijkje achter het nieuws. Vandaag:,['nemen wekelijks'],['nemen'],2,15,6,[0.6666666666666666],0.67,ad
seq301-0,base,Minstens 44 met corona besmette Nederlanders doen mee aan een grote claim tegen de Tiroolse autoriteiten,Minstens 44 met corona besmette Nederlanders doen mee aan een grote claim tegen <extra_id_0> autoriteiten,Minstens 44 met corona besmette Nederlanders doen mee aan een grote claim tegen de autoriteiten,['de Tiroolse'],['de'],2,15,6,[0.8181818181818182],0.82,ad
seq302-0,base,Mijn vrouw en ik hebben na de diagnose een kwartier lang staan huilen. We zijn doodsbang voor wat er komen gaat.,Mijn vrouw en ik hebben na <extra_id_0> kwartier lang staan huilen. We zijn doodsbang voor wat er komen gaat.,Mijn vrouw en ik hebben na een kwartier lang staan huilen. We zijn doodsbang voor wat er komen gaat.,['de diagnose een'],['een'],3,15,6,[0.8],0.8,ad
seq303-0,base,Zeker zeventig burgers zijn in 2015 om het leven gekomen door een aanval van een Nederlandse F-16 op een autobommenfabriek van IS in het Iraakse Hawija. Dat melden NOS en NRC op basis van bronnen.,Zeker zeventig burgers zijn in 2015 om het leven gekomen door een aanval van een Nederlandse <extra_id_0> van IS in het Iraakse Hawija. Dat melden NOS en NRC op basis van bronnen.,Zeker zeventig burgers zijn in 2015 om het leven gekomen door een aanval van een Nederlandse eenheid van IS in het Iraakse Hawija. Dat melden NOS en NRC op basis van bronnen.,['F-16 op een autobommenfabriek'],['eenheid'],5,15,6,[0.8275862068965517],0.83,ad
seq304-0,base,"Als partijleider van Nida, goed voor twee zetels in de Rotterdamse gemeenteraad, hoopt Nourdin el Ouali (38) volgend jaar de Tweede Kamer in te gaan. ,,Wij zijn niet louter een moslimpartij.","Als partijleider van Nida, goed voor twee zetels in de <extra_id_0> el Ouali (38) volgend jaar de Tweede Kamer in te gaan. ,,Wij zijn niet louter een moslimpartij.","Als partijleider van Nida, goed voor twee zetels in de Kamer, besluit el Ouali (38) volgend jaar de Tweede Kamer in te gaan. ,,Wij zijn niet louter een moslimpartij.","['Rotterdamse gemeenteraad', 'hoopt Nourdin']","['Kamer, besluit']",5,15,6,[0.7916666666666666],0.79,ad
seq305-0,base,Speelgoedwinkel Intertoys is failliet. De winkels blijven voorlopig gewoon open. Tot duidelijk is hoe het nu verder gaat met de speelgoedketen blijft het personeel aan het werk. Onderwijl wordt druk gesproken met verschillende partijen over een doorstart. Voor de ruim 3000 medewerkers ziet de toekomst er somber uit: voor hen is ontslag aangevraagd.,Speelgoedwinkel Intertoys is failliet. De winkels blijven voorlopig gewoon open. Tot duidelijk <extra_id_0> verder gaat met de speelgoedketen blijft het personeel aan het werk. Onderwijl wordt druk gesproken met verschillende partijen over een doorstart. Voor de ruim 3000 medewerkers ziet de toekomst er <extra_id_1> is ontslag aangevraagd.,Speelgoedwinkel Intertoys is failliet. De winkels blijven voorlopig gewoon open. Tot duidelijk is dat het verder gaat met de speelgoedketen blijft het personeel aan het werk. Onderwijl wordt druk gesproken met verschillende partijen over een doorstart. Voor de ruim 3000 medewerkers ziet de toekomst er niet uit. Er is ontslag aangevraagd.,"['is hoe het nu', 'somber uit: voor hen']","['is dat het', 'niet uit. Er']",8,15,6,"[0.46153846153846156, 0.65]",0.56,ad
seq306-0,base,Een gebied met sneeuwval en ijsregen ligt nu boven het noordoosten van het land. Elders komt er plaatselijk ijzel voor en liggen er sneeuw- of ijsresten op de weg. Het is door dit alles op veel plaatsen glad.,Een gebied met sneeuwval en ijsregen ligt nu boven het noordoosten van het land. Elders komt er plaatselijk ijzel voor en liggen er sneeuw- of ijsresten op de <extra_id_0> door dit alles <extra_id_1> glad.,Een gebied met sneeuwval en ijsregen ligt nu boven het noordoosten van het land. Elders komt er plaatselijk ijzel voor en liggen er sneeuw- of ijsresten op de bodem. Het landschap is door dit alles vrij glad.,"['weg. Het is', 'op veel plaatsen']","['bodem. Het landschap is', 'vrij']",6,15,6,"[0.6086956521739131, 0.9375]",0.77,ad
seq307-0,base,Voorafgaand aan alle 21 races duikt AD Sportwereld per circuit in het track record van Max Verstappen en kijkt naar de prestaties van Honda van vorig jaar. Deel,Voorafgaand aan alle 21 races duikt AD Sportwereld per circuit in het track record <extra_id_0> kijkt naar de prestaties van Honda van vorig jaar. Deel,Voorafgaand aan alle 21 races duikt AD Sportwereld per circuit in het track record en kijkt naar de prestaties van Honda van vorig jaar. Deel,['van Max Verstappen en'],['en'],4,15,6,[0.9047619047619048],0.9,ad
seq308-0,base,Ben je er niet aan toegekomen om al het regionale nieuws vandaag te volgen? Dit is het belangrijkste nieuws van,Ben je er niet aan toegekomen om al het regionale nieuws vandaag te volgen? Dit is <extra_id_0> van,Ben je er niet aan toegekomen om al het regionale nieuws vandaag te volgen? Dit is de reden van,['het belangrijkste nieuws'],['de reden'],3,15,6,[0.7916666666666666],0.79,ad
seq309-0,base,In deze sportloze periode bellen we dagelijks met een jarige prominent uit de sportwereld. Door het coronavirus is het toch een heel andere verjaardag dan normaal. Vandaag:,In deze sportloze periode bellen we <extra_id_0> prominent uit de sportwereld. Door het coronavirus is het toch een heel andere verjaardag dan normaal. Vandaag:,In deze sportloze periode bellen we onze prominent uit de sportwereld. Door het coronavirus is het toch een heel andere verjaardag dan normaal. Vandaag:,['dagelijks met een jarige'],['onze'],4,15,6,[0.9166666666666666],0.92,ad
seq310-0,base,"In aanloop naar elke Formule 1-race kijken we dit seizoen vooruit naar het raceweekeinde met kenners, prominenten en liefhebbers. Voorafgaand aan de GP van","In aanloop naar elke Formule 1-race kijken we dit seizoen vooruit naar het raceweekeinde met kenners, prominenten en <extra_id_0> GP van","In aanloop naar elke Formule 1-race kijken we dit seizoen vooruit naar het raceweekeinde met kenners, prominenten en de GP van",['liefhebbers. Voorafgaand aan de'],['de'],4,15,6,[0.9354838709677419],0.94,ad
seq311-0,base,"Met de enorme massa aan geannuleerde vakanties zijn Nederlanders meer gebonden aan vakantie in eigen land. Maar wie zomers gaat kamperen, moet rekening houden met een nat pak. Maakt dat de stroom aan eigen toeristen minder groot op de Veluwe?","Met de enorme massa aan geannuleerde vakanties <extra_id_0> gebonden aan vakantie in eigen land. Maar wie zomers gaat kamperen, moet rekening houden met een nat pak. Maakt dat de stroom aan <extra_id_1> groot op de Veluwe?","Met de enorme massa aan geannuleerde vakanties is Nederland niet meer gebonden aan vakantie in eigen land. Maar wie zomers gaat kamperen, moet rekening houden met een nat pak. Maakt dat de stroom aan hitte groot op de Veluwe?","['zijn Nederlanders meer', 'eigen toeristen minder']","['is Nederland niet meer', 'hitte']",6,15,6,"[0.36363636363636365, 0.8181818181818182]",0.59,ad
seq312-0,base,Veel mensen blijven deze zomer vanwege de coronacrisis thuis. Wat is hun favoriete plekje op Voorne-Putten of Goeree-Overflakkee?,Veel mensen blijven deze zomer <extra_id_0> thuis. Wat is hun favoriete plekje op Voorne-Putten of Goeree-Overflakkee?,Veel mensen blijven deze zomer niet thuis. Wat is hun favoriete plekje op Voorne-Putten of Goeree-Overflakkee?,['vanwege de coronacrisis'],['niet'],3,15,6,[0.9130434782608695],0.91,ad
