,Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
107,seq107-0,large,"De `sitcom about nothing', verzonnen door Jerry Seinfeld en Larry Davids vertelt het semi-autobiografische verhaal van de stand-up comedian Jerry Seinfeld en zijn vrienden: ex-minnares Elaine Benes (Julia Louis-Dreyfus), de blunderende Cosmo Kramer (Michael Richards) met ","De `sitcom about nothing', verzonnen door Jerry Seinfeld en Larry Davids <extra_id_0> verhaal van de stand-up comedian Jerry Seinfeld en zijn vrienden: ex-minnares Elaine Benes (Julia Louis-Dreyfus), de blunderende Cosmo Kramer (Michael <extra_id_1>","De `sitcom about nothing', verzonnen door Jerry Seinfeld en Larry Davids vertelt het verhaal van de stand-up comedian Jerry Seinfeld en zijn vrienden: ex-minnares Elaine Benes (Julia Louis-Dreyfus), de blunderende Cosmo Kramer (Michael Kenneth...","['vertelt het semi-autobiografische', 'Richards) met']","['vertelt het', 'Kenneth...']",5,15,1,"[0.6666666666666666, 1.0]",0.83
108,seq108-0,large,"Kleindochter Christine Koenigs van de beroemde kunstverzamelaar Franz Koenigs wil dat directeur Sjarel Ex van Museum Boijmans van Beuningen per direct twee tekeningen van Jeroen Bosch van de muur haalt.  Dat schrijft zij in een boze brief aan Ex en curator Jonathan Bober van de National Gallery of Art in Washington, waar ze nu hangen","Kleindochter Christine Koenigs van de beroemde kunstverzamelaar Franz Koenigs wil dat directeur Sjarel Ex van Museum Boijmans <extra_id_0> per direct twee tekeningen <extra_id_1> van de muur haalt. Dat schrijft zij in een boze brief aan Ex en curator Jonathan Bober van <extra_id_2> of Art in Washington, waar ze nu hangen","Kleindochter Christine Koenigs van de beroemde kunstverzamelaar Franz Koenigs wil dat directeur Sjarel Ex van Museum Boijmans Van Beuningen per direct twee tekeningen van de kunstenaar van de muur haalt. Dat schrijft zij in een boze brief aan Ex en curator Jonathan Bober van het Museum of Art in Washington, waar ze nu hangen","['van Beuningen', 'van Jeroen Bosch', 'de National Gallery']","['Van Beuningen', 'van de kunstenaar', 'het Museum']",8,15,1,"[0.07692307692307693, 0.6470588235294118, 0.7894736842105263]",0.5
109,seq109-0,large,"VS voeren druk op Iran verder op De Amerikaanse regering heeft gisteren nieuwe, harde strafmaatregelen tegen Iran, Iraanse banken en de Iraanse strijdkrachten afgekondigd.  Washington beschuldigt een onderdeel van de Iraanse Revolutionaire Garde ervan terrorisme te ondersteunen","VS voeren druk op Iran <extra_id_0> Amerikaanse regering heeft gisteren nieuwe, harde <extra_id_1> Iraanse banken en de Iraanse strijdkrachten afgekondigd. Washington beschuldigt een onderdeel van de Iraanse Revolutionaire Garde ervan terrorisme te ondersteunen","VS voeren druk op Iran De Amerikaanse regering heeft gisteren nieuwe, harde sancties tegen Iraanse banken en de Iraanse strijdkrachten afgekondigd. Washington beschuldigt een onderdeel van de Iraanse Revolutionaire Garde ervan terrorisme te ondersteunen","['verder op De', 'strafmaatregelen tegen Iran,']","['De', 'sancties tegen']",6,15,1,"[0.8333333333333334, 0.6428571428571429]",0.74
110,seq110-0,large,Kabinet met D66 en ChristenUnie onmogelijk of slechts onwenselijk.  De Haagse Stemming Vandaag is dag 64 van de formatie,Kabinet met D66 en <extra_id_0> slechts onwenselijk. De Haagse Stemming Vandaag is dag 64 van de formatie,Kabinet met D66 en VVD is slechts onwenselijk. De Haagse Stemming Vandaag is dag 64 van de formatie,['ChristenUnie onmogelijk of'],['VVD is'],3,15,1,[0.9230769230769231],0.92
111,seq111-0,large,Yara (Wies Fest) and Philippe (Egbert-Jan Weeber) zijn twee naar zingeving zoekende millennials.  Regie: Hanna van Niekerk,Yara (Wies Fest) and Philippe (Egbert-Jan Weeber) zijn <extra_id_0> zoekende millennials. Regie: Hanna van Niekerk,Yara (Wies Fest) and Philippe (Egbert-Jan Weeber) zijn de zoekende millennials. Regie: Hanna van Niekerk,['twee naar zingeving'],['de'],3,15,1,[0.9473684210526315],0.95
112,seq112-0,large,"De stemming is verre van uitbundig op Temper The Wind To The Shorn Lamb, de tweede cd van de Vlissingse groep This Beautiful Mess.  De kale boom in een mistig landschap op de hoes staat model voor de sfeervolle, herfstige en van melancholie druipende muziek","De stemming is verre van uitbundig op Temper The Wind To The Shorn Lamb, de tweede cd van de Vlissingse groep This Beautiful Mess. De kale boom in een mistig landschap op de hoes staat <extra_id_0> herfstige en van <extra_id_1>","De stemming is verre van uitbundig op Temper The Wind To The Shorn Lamb, de tweede cd van de Vlissingse groep This Beautiful Mess. De kale boom in een mistig landschap op de hoes staat voor een herfstige en van sfeer.","['model voor de sfeervolle,', 'melancholie druipende muziek']","['voor een', 'sfeer.']",7,15,1,"[0.72, 0.9285714285714286]",0.82
113,seq113-0,large,"Recessie bedreigt herverkiezing Bush WASHINGTON, 19 OKT.  Het loopt tegen verkiezingstijd en niemand heeft geld","Recessie <extra_id_0> Bush WASHINGTON, 19 OKT. Het loopt tegen verkiezingstijd en niemand heeft geld","Recessie met Bush WASHINGTON, 19 OKT. Het loopt tegen verkiezingstijd en niemand heeft geld",['bedreigt herverkiezing'],['met'],2,15,1,[0.9090909090909091],0.91
115,seq115-0,large,"Geen gedwee typje ,,Momentje, ik leg even de hoorn neer, er worden bloemen gebracht'', zegt juriste Medy van der Laan (34).  De telefoon staat niet stil","<extra_id_0> ik leg even de hoorn neer, er worden bloemen gebracht'', zegt juriste Medy van der Laan (34). De telefoon staat niet stil","ik leg even de hoorn neer, er worden bloemen gebracht'', zegt juriste Medy van der Laan (34). De telefoon staat niet stil","['Geen gedwee typje ,,Momentje,']",[''],4,15,1,[1.0],1.0
116,seq116-0,large,"Regisseur Michael Cimino (Deer Hunter) overleden Cimino (77) won vijf Oscars met zijn film The Deer Hunter, maar kon het succes in zijn carrire niet meer oppakken na het geflopte Heavens Gate.  Archiefbeeld van Cimino uit 2012 Foto: Gabriel Bouys / AFP Regisseur Michael Cimino, bekend van films als The Deer Hunter en Heavens Gate, ","Regisseur Michael Cimino (Deer Hunter) overleden Cimino (77) won vijf Oscars met zijn film The Deer Hunter, maar kon het <extra_id_0> carrire niet meer oppakken na het geflopte Heavens Gate. Archiefbeeld van Cimino uit <extra_id_1> Bouys / AFP Regisseur Michael Cimino, bekend van films als <extra_id_2> Hunter en Heavens Gate,","Regisseur Michael Cimino (Deer Hunter) overleden Cimino (77) won vijf Oscars met zijn film The Deer Hunter, maar kon het in zijn carrire niet meer oppakken na het geflopte Heavens Gate. Archiefbeeld van Cimino uit de film Heavens Gate. Foto: Olivier Bouys / AFP Regisseur Michael Cimino, bekend van films als The Deer Hunter en Heavens Gate,","['succes in zijn', '2012 Foto: Gabriel', 'The Deer']","['in zijn', 'de film Heavens Gate. Foto: Olivier', 'The Deer']",8,15,1,"[0.5, 0.7428571428571429, 0.0]",0.41
118,seq118-0,large,"U wist dat Shell toestemming voor de deal nodig had.  Corruptiezaak De eerste verdachte in de corruptiezaak rond een Nigeriaans olieveld waar Shell bij betrokken is, werd stevig verhoord door de Italiaanse aanklager Fabio de Pasquale","U wist dat Shell toestemming voor de deal nodig had. Corruptiezaak De eerste verdachte in de corruptiezaak <extra_id_0> olieveld waar Shell bij betrokken is, werd stevig verhoord door de Italiaanse aanklager Fabio <extra_id_1>","U wist dat Shell toestemming voor de deal nodig had. Corruptiezaak De eerste verdachte in de corruptiezaak rond het olieveld waar Shell bij betrokken is, werd stevig verhoord door de Italiaanse aanklager Fabio Domenici.","['rond een Nigeriaans', 'de Pasquale']","['rond het', 'Domenici.']",5,15,1,"[0.6842105263157895, 1.0]",0.84
119,seq119-0,large,"Kinderbijslag intact Een meerderheid in de Tweede Kamer ziet niets in het voorstel van staatssecretaris Van Hoof (Sociale Zaken, VVD) om ouders van schoolverlaters te korten op de kinderbijslag.  Dat bleek gisteren tijdens het wekelijkse vragenuur in de Kamer","Kinderbijslag intact Een meerderheid in de Tweede Kamer ziet niets <extra_id_0> van staatssecretaris Van Hoof (Sociale Zaken, VVD) om ouders van schoolverlaters te korten op de <extra_id_1> gisteren tijdens het wekelijkse vragenuur in de Kamer","Kinderbijslag intact Een meerderheid in de Tweede Kamer ziet niets in de plannen van staatssecretaris Van Hoof (Sociale Zaken, VVD) om ouders van schoolverlaters te korten op de kinderbijslag. Dat bleek gisteren tijdens het wekelijkse vragenuur in de Kamer","['in het voorstel', 'kinderbijslag. Dat bleek']","['in de plannen', 'kinderbijslag. Dat bleek']",6,15,1,"[0.6, 0.0]",0.3
120,seq120-0,large,"Bij een bloedbad in het noorden van Mexico zijn maandag zeker zes kinderen en drie vrouwen op brute wijze vermoord.  De slachtoffers maken allen deel uit van een bekende mormoonse sekte die oorspronkelijk uit de VS komt, maar al decennia aan de Mexicaanse kant van de grens woont","Bij een bloedbad in het noorden van Mexico zijn maandag zeker zes kinderen en drie vrouwen op brute wijze vermoord. De slachtoffers maken allen deel uit van een <extra_id_0> oorspronkelijk uit de VS komt, maar al decennia aan de Mexicaanse kant <extra_id_1> woont","Bij een bloedbad in het noorden van Mexico zijn maandag zeker zes kinderen en drie vrouwen op brute wijze vermoord. De slachtoffers maken allen deel uit van een familie die oorspronkelijk uit de VS komt, maar al decennia aan de Mexicaanse kant van de grens woont","['bekende mormoonse sekte die', 'van de grens']","['familie die', 'van de grens']",7,15,1,"[0.7777777777777778, 0.0]",0.39
121,seq121-0,large,"De komende dagen zal het s ochtends vaak nevelig en mistig zijn, maar breekt vooral in de middag de zon af en toe door.  ","De komende dagen zal het s ochtends vaak nevelig en mistig zijn, maar breekt vooral in de middag <extra_id_0> toe door.","De komende dagen zal het s ochtends vaak nevelig en mistig zijn, maar breekt vooral in de middag en avond af en toe door.",['de zon af en'],['en avond af en'],4,15,1,[0.35714285714285715],0.36
122,seq122-0,large,40 banen weg bij ANWB-winkels vanwege reorganisatie De winkels en ondersteunende diensten draaien zon 25 miljoen euro verlies.  Daarom wil ANWB de snijden in de personeelskosten,40 banen weg <extra_id_0> De winkels en ondersteunende diensten draaien zon 25 miljoen euro verlies. Daarom wil ANWB de snijden in de personeelskosten,40 banen weg De winkels en ondersteunende diensten draaien zon 25 miljoen euro verlies. Daarom wil ANWB de snijden in de personeelskosten,['bij ANWB-winkels vanwege reorganisatie'],[''],4,15,1,[1.0],1.0
123,seq123-0,large,Presidentskandidaat Bob Dole wil 'gewoon' zijn land dienen; Een machinist zonder programma Na een reeks mislukkingen krijgt de republikein Robert J. Dole (72) dit jaar zijn laatste kans op het Witte Huis,Presidentskandidaat Bob Dole wil 'gewoon' zijn land dienen; Een <extra_id_0> Na een reeks mislukkingen krijgt de republikein Robert J. Dole (72) dit jaar zijn laatste kans <extra_id_1> Witte Huis,Presidentskandidaat Bob Dole wil 'gewoon' zijn land dienen; Een reactie plaatsen Na een reeks mislukkingen krijgt de republikein Robert J. Dole (72) dit jaar zijn laatste kans in het Witte Huis,"['machinist zonder programma', 'op het']","['reactie plaatsen', 'in het']",5,15,1,"[0.8076923076923077, 0.3333333333333333]",0.57
124,seq124-0,large,"Twee nominaties NRC voor journalistieke prijs De Loep NRC is samen met de NOS en Nieuwsuur genomineerd voor De Loep, de prijs voor de beste onderzoeksjournalistiek van Nederland en Vlaanderen.  De Vereniging voor Onderzoeksjournalisten reikt De Loep jaarlijks uit","Twee nominaties NRC voor journalistieke prijs De Loep NRC is <extra_id_0> NOS en Nieuwsuur <extra_id_1> Loep, de prijs voor de beste onderzoeksjournalistiek van Nederland en Vlaanderen. De Vereniging voor Onderzoeksjournalisten reikt De Loep jaarlijks uit","Twee nominaties NRC voor journalistieke prijs De Loep NRC is samen met NOS en Nieuwsuur genomineerd voor De Loep, de prijs voor de beste onderzoeksjournalistiek van Nederland en Vlaanderen. De Vereniging voor Onderzoeksjournalisten reikt De Loep jaarlijks uit","['samen met de', 'genomineerd voor De']","['samen met', 'genomineerd voor De']",6,15,1,"[0.25, 0.0]",0.12
125,seq125-0,large,Zet dt eens op de cover De covers van Nature en Science zijn zelden artistiek.  Nederlandse fysici boden een cartoon aan Nature aan,Zet dt eens op de cover De covers van Nature en Science zijn <extra_id_0> fysici boden een cartoon aan Nature aan,Zet dt eens op de cover De covers van Nature en Science zijn gemaakt door fysici boden een cartoon aan Nature aan,['zelden artistiek. Nederlandse'],['gemaakt door'],3,15,1,[0.8275862068965517],0.83
126,seq126-0,large,Diafragma's De ING-bank in Kortrijk pakt uit met een grote tentoonstelling van de eigen collectie met werk van topfotografen.  Sebastio Salgado doet zijn - fenomenale - kunstje op maar liefst veertien foto's van mensen die als mieren ,Diafragma's De ING-bank in Kortrijk pakt uit met een grote tentoonstelling van de <extra_id_0> werk van topfotografen. Sebastio Salgado doet zijn - fenomenale - kunstje op maar liefst <extra_id_1> mensen die als mieren,Diafragma's De ING-bank in Kortrijk pakt uit met een grote tentoonstelling van de ING-bank met werk van topfotografen. Sebastio Salgado doet zijn - fenomenale - kunstje op maar liefst zes mensen die als mieren,"['eigen collectie met', '""veertien foto\'s van""']","['ING-bank met', 'zes']",6,15,1,"[0.7894736842105263, 0.9047619047619048]",0.85
127,seq127-0,large,"In La isla mnima, dat in Spanje maar liefst tien Goyas ontving, de belangrijkste filmprijzen, zoekt hij het wat verder weg.  Niet alleen geografisch, maar ook chronologisch","In La isla mnima, dat in Spanje maar liefst tien Goyas ontving, de belangrijkste filmprijzen, zoekt hij het wat verder <extra_id_0> maar ook chronologisch","In La isla mnima, dat in Spanje maar liefst tien Goyas ontving, de belangrijkste filmprijzen, zoekt hij het wat verder maar ook chronologisch","['weg. Niet alleen geografisch,']",[''],4,15,1,[1.0],1.0
128,seq128-0,large,"Hockeyers naar finale door winst op Australirs Wakker geschud door de benauwde ontsnapping, dinsdag door toedoen van Groot-Brittanni, hebben de Nederlandse hockeyers hun ware gezicht laten zien.  In de halve finales van het olympisch hockeytoernooi dompelde de ploeg van bondscoach Maurits Hendriks gastland Australi in rouw","Hockeyers naar finale door winst op Australirs Wakker geschud door de benauwde ontsnapping, dinsdag door toedoen van Groot-Brittanni, hebben de Nederlandse hockeyers hun ware gezicht laten zien. In <extra_id_0> van het olympisch hockeytoernooi dompelde de ploeg van bondscoach Maurits Hendriks <extra_id_1>","Hockeyers naar finale door winst op Australirs Wakker geschud door de benauwde ontsnapping, dinsdag door toedoen van Groot-Brittanni, hebben de Nederlandse hockeyers hun ware gezicht laten zien. In de finale van het olympisch hockeytoernooi dompelde de ploeg van bondscoach Maurits Hendriks zich in een moeilijke","['de halve finales', 'gastland Australi in rouw']","['de finale', 'moeilijke']",7,15,1,"[0.4375, 0.92]",0.68
129,seq129-0,large,Schuim & as.  Gesprek met hoofdconservator Susan Legne van het Tropenmuseum in Amsterdam over het belang van ritme in een mensenleven,Schuim & as. Gesprek met hoofdconservator Susan Legne van het Tropenmuseum in Amsterdam over <extra_id_0> ritme in een mensenleven,Schuim & as. Gesprek met hoofdconservator Susan Legne van het Tropenmuseum in Amsterdam over het ritme in een mensenleven,['het belang van'],['het'],3,15,1,[0.7857142857142857],0.79
130,seq130-0,large,"Passages uit het eindraport; 'Daarmee heeft zij dit dus niet geweten' Uit het eindrapport, hoofdstuk 6, Het meningsverschil Sorgdrager-Blok: Tijdens de verhoren van de commmissie heeft de kwestie zich ook toegespitst op de vraag of ook procureur-generaal Sorgdrager, in functie vanaf 1 januari 1994, van de doorlating van cocane geweten heeft.  Blok kan zich herinneren dat hij de doorlating met Sorgdrager besproken heeft","Passages uit het eindraport; 'Daarmee heeft zij dit dus niet geweten' Uit het eindrapport, hoofdstuk 6, Het meningsverschil Sorgdrager-Blok: Tijdens de <extra_id_0> commmissie heeft de kwestie zich <extra_id_1> de vraag of ook procureur-generaal Sorgdrager, <extra_id_2> 1 januari 1994, van de doorlating van cocane geweten heeft. Blok kan zich herinneren dat hij de doorlating met Sorgdrager besproken heeft","Passages uit het eindraport; 'Daarmee heeft zij dit dus niet geweten' Uit het eindrapport, hoofdstuk 6, Het meningsverschil Sorgdrager-Blok: Tijdens de behandeling van de commmissie heeft de kwestie zich gebogen over de vraag of ook procureur-generaal Sorgdrager, op 1 januari 1994, van de doorlating van cocane geweten heeft. Blok kan zich herinneren dat hij de doorlating met Sorgdrager besproken heeft","['verhoren van de', 'ook toegespitst op', 'in functie vanaf']","['behandeling van de', 'gebogen over', 'op']",9,15,1,"[0.4444444444444444, 0.8333333333333334, 1.0]",0.76
132,seq132-0,large,Gebutste Fazio gaat toch maar niet naar Manchester Het had vandaag ht plaatje uit Manchester moeten worden: de door iedereen met de nek aangekeken Italiaanse bankpresident Antonio Fazio die zijn opwachting kwam maken bij zijn Europese collega-bankpresidenten en de ministers van Financin uit de EU.  Dit gezelschap houdt vandaag en morgen in de Noord-Engelse stad zijn halfjaarlijkse informele bijeenkomst om in ontspannen sfeer  want informeel  de toestand in de wereld te bespreken,Gebutste Fazio gaat toch maar niet naar Manchester Het had vandaag ht plaatje uit Manchester moeten worden: de door iedereen met de nek aangekeken Italiaanse bankpresident Antonio Fazio die zijn opwachting kwam maken <extra_id_0> collega-bankpresidenten en de ministers van Financin uit de EU. Dit gezelschap houdt vandaag en morgen in de Noord-Engelse stad <extra_id_1> bijeenkomst <extra_id_2> ontspannen sfeer want informeel <extra_id_3> de wereld te bespreken,Gebutste Fazio gaat toch maar niet naar Manchester Het had vandaag ht plaatje uit Manchester moeten worden: de door iedereen met de nek aangekeken Italiaanse bankpresident Antonio Fazio die zijn opwachting kwam maken met zijn collega-bankpresidenten en de ministers van Financin uit de EU. Dit gezelschap houdt vandaag en morgen in de Noord-Engelse stad een bijeenkomst in een ontspannen sfeer want informeel om de financiën van de wereld te bespreken,"['bij zijn Europese', 'zijn halfjaarlijkse informele', 'om in', 'de toestand in']","['met zijn', 'een', 'in een', 'om de financiën van']",11,15,1,"[0.7058823529411765, 0.9310344827586207, 0.6666666666666666, 0.7368421052631579]",0.76
133,seq133-0,large,"Flierefluitend voor de leeuwen Jeroen moest erg wennen aan dat burgerlijke, maar Linda drong aan.  Met succes","Flierefluitend voor de leeuwen Jeroen moest erg wennen aan dat burgerlijke, maar <extra_id_0> Met succes","Flierefluitend voor de leeuwen Jeroen moest erg wennen aan dat burgerlijke, maar Met succes",['Linda drong aan.'],[''],3,15,1,[1.0],1.0
134,seq134-0,large,"Eurofilm viert moeizaam feest De European Film Awards willen maar geen feestje worden, ondanks veel enthousiasme en prijzen.  Kauwboy was de beste ontdekking van 2012 en Carice van Houten mocht op Malta een prijs overhandigen","Eurofilm viert moeizaam feest <extra_id_0> Film Awards willen maar geen feestje worden, ondanks veel enthousiasme en prijzen. Kauwboy was de beste ontdekking <extra_id_1> Carice van Houten mocht op Malta een prijs overhandigen","Eurofilm viert moeizaam feest De European Film Awards willen maar geen feestje worden, ondanks veel enthousiasme en prijzen. Kauwboy was de beste ontdekking van de jury en Carice van Houten mocht op Malta een prijs overhandigen","['De European', 'van 2012 en']","['De European', 'van de jury en']",5,15,1,"[0.0, 0.5]",0.25
135,seq135-0,large,"'Circa twee miljoen mensen in tijdnood' DEN HAAG, 5 NOV.  Ongeveer twee miljoen Nederlanders hebben moeite hun dag in te delen","'Circa twee miljoen <extra_id_0> DEN HAAG, 5 NOV. Ongeveer twee miljoen Nederlanders hebben moeite hun dag in te delen","'Circa twee miljoen DEN HAAG, 5 NOV. Ongeveer twee miljoen Nederlanders hebben moeite hun dag in te delen","['""mensen in tijdnood\'""']",[''],3,15,1,[1.0],1.0
136,seq136-0,large,"Data-analyse klinkt saai, maar het is een machtig instrument.  Zo kan het er bijvoorbeeld voor zorgen dat een Londense politiechef precies weet waar Britten naar het bootje van hun koningin gaan kijken","Data-analyse klinkt saai, maar het is een machtig instrument. Zo kan het er bijvoorbeeld voor zorgen dat een Londense politiechef precies weet <extra_id_0> naar het <extra_id_1> koningin gaan kijken","Data-analyse klinkt saai, maar het is een machtig instrument. Zo kan het er bijvoorbeeld voor zorgen dat een Londense politiechef precies weet wie er naar het parlement moet gaan en hoe de koning en koningin gaan kijken","['waar Britten', 'bootje van hun']","['wie er', 'parlement moet gaan en hoe de koning en']",5,15,1,"[0.75, 0.7948717948717948]",0.77
137,seq137-0,large,"De Russische Centrale Bank heeft een flinke rel veroorzaakt met een speciale muntenreeks met afbeeldingen van Europese hoofdsteden die, aldus de bank, door de Sovjettroepen zijn bevrijd van de Duits-fascistische bezetters.  Op de vijftien jubileummunten die vorige week in omloop kwamen, prijken afbeeldingen van Berlijn en Wenen, Kiev, Minsk, Warschau, Praag, Boekarest, Chisinau en de hoofdsteden van de Baltische staten","De Russische Centrale Bank heeft een flinke rel veroorzaakt met een speciale muntenreeks met afbeeldingen van Europese hoofdsteden die, aldus de bank, door de Sovjettroepen zijn bevrijd van de Duits-fascistische bezetters. Op de vijftien jubileummunten die <extra_id_0> omloop kwamen, prijken afbeeldingen <extra_id_1> Wenen, Kiev, Minsk, Warschau, Praag, Boekarest, Chisinau en <extra_id_2> de Baltische staten","De Russische Centrale Bank heeft een flinke rel veroorzaakt met een speciale muntenreeks met afbeeldingen van Europese hoofdsteden die, aldus de bank, door de Sovjettroepen zijn bevrijd van de Duits-fascistische bezetters. Op de vijftien jubileummunten die in omloop kwamen, prijken afbeeldingen van Wenen, Kiev, Minsk, Warschau, Praag, Boekarest, Chisinau en Tallin, de hoofdstad van de Baltische staten","['vorige week in', 'van Berlijn en', 'de hoofdsteden van']","['in', 'van', 'Tallin, de hoofdstad van']",9,15,1,"[0.8571428571428571, 0.7857142857142857, 0.4583333333333333]",0.7
138,seq138-0,large,"Adriaan van Dis, wat een nummer, wat een fantast.  Zo begint de bijdrage van pater Dik Kooloos in het novembernummer van het blad Bijeen","Adriaan van Dis, wat een nummer, wat een <extra_id_0> bijdrage van pater Dik Kooloos in het novembernummer van het blad Bijeen","Adriaan van Dis, wat een nummer, wat een verhaal. Een bijdrage van pater Dik Kooloos in het novembernummer van het blad Bijeen",['fantast. Zo begint de'],['verhaal. Een'],4,15,1,[0.7619047619047619],0.76
139,seq139-0,large,CES 2015: Mercedes pimpt de robotauto van Google Techredacteur Marc Hijink doet dagelijks verslag vanaf gadgetbeurs CES in Las Vegas.  Ruim 150,CES 2015: Mercedes pimpt de robotauto van Google Techredacteur Marc <extra_id_0> verslag vanaf gadgetbeurs CES in Las Vegas. Ruim 150,CES 2015: Mercedes pimpt de robotauto van Google Techredacteur Marc van der Horst doet verslag vanaf gadgetbeurs CES in Las Vegas. Ruim 150,['Hijink doet dagelijks'],['van der Horst doet'],3,15,1,[0.8095238095238095],0.81
140,seq140-0,large,Luieren in de wereld van Solero De traditionele strandtent verdwijnt.  Heineken en Ola sponsoren niet langer alleen de parasol maar kopen de hele zaak op,Luieren in de wereld van Solero De traditionele strandtent verdwijnt. Heineken en Ola sponsoren niet langer alleen de parasol maar <extra_id_0> op,Luieren in de wereld van Solero De traditionele strandtent verdwijnt. Heineken en Ola sponsoren niet langer alleen de parasol maar ook de tent op,['kopen de hele zaak'],['ook de tent'],4,15,1,[0.6666666666666666],0.67
141,seq141-0,large,`Reactie sociale partners zwaar overtrokken' De sociale partners beslissen vandaag of ze het dinsdag gestaakte overleg met het kabinet over de sociale zekerheid zullen hervatten.  Vanochtend zagen ze daar vooralsnog geen reden toe,`Reactie sociale partners zwaar overtrokken' De sociale partners beslissen vandaag of ze het dinsdag gestaakte overleg met <extra_id_0> de <extra_id_1> zullen hervatten. Vanochtend zagen ze daar vooralsnog geen reden toe,`Reactie sociale partners zwaar overtrokken' De sociale partners beslissen vandaag of ze het dinsdag gestaakte overleg met de minister van de Economie zullen hervatten. Vanochtend zagen ze daar vooralsnog geen reden toe,"['het kabinet over', 'sociale zekerheid']","['de minister van', 'Economie']",5,15,1,"[0.6875, 0.8823529411764706]",0.78
142,seq142-0,large,Gezondheid Op cursus samen met collegas en het vooruitzicht van waardebonnen  vier op de tien deelnemers stopten daardoor met roken.  Stoppen met roken gaat veel beter met een financile beloning,Gezondheid Op cursus samen met collegas en het vooruitzicht van <extra_id_0> tien deelnemers stopten daardoor met roken. Stoppen met roken gaat veel beter met een financile beloning,Gezondheid Op cursus samen met collegas en het vooruitzicht van een beloning. Meer dan tien deelnemers stopten daardoor met roken. Stoppen met roken gaat veel beter met een financile beloning,['waardebonnen vier op de'],['een beloning. Meer dan'],4,15,1,[0.6956521739130435],0.7
143,seq143-0,large,Ook de identiteit van de eerste agent die geheime opsporingsinformatie verkocht aan de onderwereld is bekend.  De identiteit van de eerste agent is ook bekend,Ook de identiteit van de eerste agent die geheime opsporingsinformatie verkocht aan de onderwereld is bekend. <extra_id_0> eerste agent is ook bekend,Ook de identiteit van de eerste agent die geheime opsporingsinformatie verkocht aan de onderwereld is bekend. De identiteit van de eerste agent is ook bekend,['De identiteit van de'],['De identiteit van de'],4,15,1,[0.0],0.0
144,seq144-0,large,"Bibi is boos Scheidend VVD-Kamerlid Bibi de Vries schreef een boos boek over haar jaren als vice-fractievoorzitter.  Een straatvechter, een olifant in een porseleinkast, geen kaas gegeten van sociale financile en economische vraagstukken","Bibi is boos Scheidend VVD-Kamerlid Bibi de Vries schreef een boos <extra_id_0> jaren <extra_id_1> Een straatvechter, een olifant in een porseleinkast, geen kaas gegeten van sociale financile en economische vraagstukken","Bibi is boos Scheidend VVD-Kamerlid Bibi de Vries schreef een boos boek over zijn jaren Een straatvechter, een olifant in een porseleinkast, geen kaas gegeten van sociale financile en economische vraagstukken","['boek over haar', 'als vice-fractievoorzitter.']","['boek over zijn', '']",5,15,1,"[0.2857142857142857, 1.0]",0.64
145,seq145-0,large,Hof: NAM moet smartengeld betalen Gaswinning Groningen Het hof gaat deels mee in de eerdere uitspraak dat de NAM moet betalen voor aangetast woongenot en psychisch leed door de gevolgen van de gaswinning.  Een huis in Stedum in 2016 dat niet meer bewoond mag worden omdat het te veel is beschadigd door aardbevingen,Hof: NAM moet smartengeld betalen Gaswinning Groningen Het hof gaat deels <extra_id_0> eerdere uitspraak dat de NAM moet <extra_id_1> aangetast woongenot en psychisch leed door de gevolgen <extra_id_2> Een huis in Stedum in 2016 dat niet meer bewoond mag worden omdat het te veel is beschadigd door aardbevingen,Hof: NAM moet smartengeld betalen Gaswinning Groningen Het hof gaat deels door met een eerdere uitspraak dat de NAM moet betalen voor aangetast woongenot en psychisch leed door de gevolgen van gaswinning. Een huis in Stedum in 2016 dat niet meer bewoond mag worden omdat het te veel is beschadigd door aardbevingen,"['mee in de', 'betalen voor', 'van de gaswinning.']","['door met een', 'betalen voor', 'van gaswinning.']",8,15,1,"[0.75, 0.0, 0.16666666666666666]",0.31
146,seq146-0,large,"PTT moet kortingen afschaffen ROTTERDAM, 24 FEBR.  PTT Telecom moet een groot deel van zijn kortingsregelingen voor grote klanten afschaffen","PTT moet kortingen afschaffen ROTTERDAM, 24 FEBR. PTT Telecom moet een groot deel <extra_id_0> voor grote klanten afschaffen","PTT moet kortingen afschaffen ROTTERDAM, 24 FEBR. PTT Telecom moet een groot deel van de kortingen voor grote klanten afschaffen",['van zijn kortingsregelingen'],['van de kortingen'],3,15,1,[0.48148148148148145],0.48
148,seq148-0,large,"Onvolledige weergave incidenten Srebrenica Doorrijden, zei de kapitein toen gewapende moslims een Nederlands pantservoertuig probeerden tegen te houden.  Alweer een incident dat volgens de ",Onvolledige weergave incidenten <extra_id_0> kapitein toen gewapende moslims een Nederlands pantservoertuig probeerden tegen te houden. Alweer een incident dat volgens de,Onvolledige weergave incidenten volgens de kapitein toen gewapende moslims een Nederlands pantservoertuig probeerden tegen te houden. Alweer een incident dat volgens de,"['Srebrenica Doorrijden', 'zei de']",['volgens de'],4,15,1,[0.7619047619047619],0.76
