Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg),Title
seq315-0,small,"In de verschillende torens zijn oude wapenuitrustingen martelwerktuigen en de echte kroonjuwelen te zien.  Beefeaters geven de rondleidingen, er zijn ","In de verschillende torens zijn oude wapenuitrustingen martelwerktuigen en de <extra_id_0> Beefeaters geven de rondleidingen, er zijn","In de verschillende torens zijn oude wapenuitrustingen martelwerktuigen en de wapens. Beefeaters geven de rondleidingen, er zijn",['echte kroonjuwelen te zien.'],['wapens.'],4,20,1,[0.8518518518518519],0.85,nrc
seq316-0,small,"Michel Houellebecq in 2010 Foto ANP Michel Houellebecq heeft de promotie van zijn nieuwe roman Soumission opgeschort, zo meldt De Standaard.  De Franse auteur was bevriend met de econoom Bernard Maris, een van de slachtoffers bij de aanslag in Parijs","Michel Houellebecq in 2010 Foto ANP Michel Houellebecq heeft <extra_id_0> zijn nieuwe roman Soumission opgeschort, zo meldt De Standaard. De Franse auteur was bevriend met de econoom Bernard Maris, <extra_id_1> slachtoffers bij de <extra_id_2> Parijs","Michel Houellebecq in 2010 Foto ANP Michel Houellebecq heeft in 2010 zijn nieuwe roman Soumission opgeschort, zo meldt De Standaard. De Franse auteur was bevriend met de econoom Bernard Maris, een van de slachtoffers bij de moord op de moordenaar in Parijs","['de promotie van', 'een van de', 'aanslag in']","['in 2010', 'een van de', 'moord op de moordenaar in']",8,20,1,"[0.9333333333333333, 0.0, 0.84]",0.59,nrc
seq317-0,small,Oezbeek veroordeeld tot levenslang voor aanslag Stockholm Rakhmat Akilov reed in april 2017 in op een groep voetgangers in de Zweedse hoofdstad.  Vijf mensen kwamen om het leven,Oezbeek veroordeeld tot levenslang voor aanslag Stockholm Rakhmat Akilov reed in april 2017 in op een <extra_id_0> de Zweedse hoofdstad. Vijf <extra_id_1> het leven,Oezbeek veroordeeld tot levenslang voor aanslag Stockholm Rakhmat Akilov reed in april 2017 in op een vlucht in de Zweedse hoofdstad. Vijf jaar van het leven,"['groep voetgangers in', 'mensen kwamen om']","['vlucht in', 'jaar van']",6,20,1,"[0.8, 0.8125]",0.81,nrc
seq318-0,small,"Geschil CDA en VVD over EU-uitbreiding Tussen coalitiepartners CDA en VVD is onenigheid ontstaan over een mogelijke Nederlandse blokkade tegen de toetreding in 2007 van Roemeni en Bulgarije tot de Europese Unie.  Het CDA wil de ratificatie van het desbetreffende toetredingsverdrag, die nog voor kerstmis dit jaar zou moeten plaatsvinden, uitstellen","<extra_id_0> VVD over <extra_id_1> en VVD is onenigheid ontstaan over een mogelijke Nederlandse blokkade tegen de toetreding in 2007 van Roemeni en <extra_id_2> Europese Unie. Het CDA wil de ratificatie van het desbetreffende toetredingsverdrag, die nog voor kerstmis dit jaar zou moeten plaatsvinden, uitstellen","en VVD over de blokkade Volgens CDA en VVD is onenigheid ontstaan over een mogelijke Nederlandse blokkade tegen de toetreding in 2007 van Roemeni en de Europese Unie. Het CDA wil de ratificatie van het desbetreffende toetredingsverdrag, die nog voor kerstmis dit jaar zou moeten plaatsvinden, uitstellen","['Geschil CDA en', 'EU-uitbreiding Tussen coalitiepartners CDA', 'Bulgarije tot de']","['en', 'de blokkade Volgens CDA', 'de']",10,20,1,"[0.8571428571428571, 0.7142857142857143, 0.875]",0.82,nrc
seq319-0,small,ALS MOEDERS HUN KINDEREN LATEN STERVEN Death without Weeping.  The Violence of Everyday Life in Brazil door Nancy Scheper-Hughes 614 blz,ALS MOEDERS HUN KINDEREN LATEN STERVEN Death without Weeping. The Violence <extra_id_0> Brazil door Nancy Scheper-Hughes 614 blz,ALS MOEDERS HUN KINDEREN LATEN STERVEN Death without Weeping. The Violence of Brazil door Nancy Scheper-Hughes 614 blz,['of Everyday Life in'],['of'],4,20,1,[0.8947368421052632],0.89,nrc
seq320-0,small,"""We moeten anarchie in het onderwijs tolereren'; Kamerleden moeten tien jaar lang hun mond houden, vindt voorzitter Gevers van UvA Na het uitbrengen van haar advies over de toekomst van het leraarschap, is de commissie Van Es met haar rapport de boer op gegaan.  Gisteren organiseerde ze een conferentie in Den Haag, met onder meer minister Ritzen (onderwijs), premier Lubbers, voorzitter Rinnooy Kan van het VNO, en vice-voorzitter Adelmund van het FNV","""We moeten anarchie in het onderwijs tolereren'; Kamerleden <extra_id_0> lang hun mond houden, vindt voorzitter Gevers van UvA <extra_id_1> van haar advies over de <extra_id_2> het leraarschap, is de commissie Van Es met haar rapport <extra_id_3> gegaan. Gisteren organiseerde ze een conferentie in Den Haag, met onder meer minister Ritzen (onderwijs), premier Lubbers, voorzitter Rinnooy Kan <extra_id_4> en vice-voorzitter Adelmund van het FNV","""We moeten anarchie in het onderwijs tolereren'; Kamerleden moeten lang hun mond houden, vindt voorzitter Gevers van UvA Na afloop van haar advies over de regels in het leraarschap, is de commissie Van Es met haar rapport over de regels gegaan. Gisteren organiseerde ze een conferentie in Den Haag, met onder meer minister Ritzen (onderwijs), premier Lubbers, voorzitter Rinnooy Kan en vice-voorzitter Adelmund van het FNV","['moeten tien jaar', 'Na het uitbrengen', 'toekomst van', 'de boer op', 'van het VNO,']","['moeten', 'Na afloop', 'regels in', 'over de regels', '']",14,20,1,"[0.625, 0.8235294117647058, 0.6666666666666666, 0.7857142857142857, 1.0]",0.78,nrc
seq321-0,small,"Abu Dhabi schiet Dubai te hulp An Emirati man follows the stock market activity at the Dubai Financial Market in the Gulf emirate on December 14, 2009.  Dubai's stock market rose 10","Abu Dhabi schiet Dubai te hulp An <extra_id_0> the stock market activity at the Dubai Financial Market in the Gulf emirate on December 14, <extra_id_1> market rose 10","Abu Dhabi schiet Dubai te hulp An overview of the stock market activity at the Dubai Financial Market in the Gulf emirate on December 14, 2017 Dubai market rose 10","['Emirati man follows', '""2009. Dubai\'s stock""']","['overview of', '2017 Dubai']",6,20,1,"[0.7894736842105263, 0.6190476190476191]",0.7,nrc
seq322-0,small,"Er woedt een grote schoonmaak onder besloten vastgoedfondsen, bleek vorige week.  Eenentwintig grote aanbieders, waaronder Bouwfonds REIM en Annexum, hebben gezamenlijk normen opgesteld voor een deugdelijke bedrijfsvoering, en laten prospectussen voor nieuwe fondsen toetsen door een onafhankelijke stichting","Er woedt een <extra_id_0> onder besloten vastgoedfondsen, bleek <extra_id_1> grote aanbieders, waaronder Bouwfonds REIM <extra_id_2> gezamenlijk normen opgesteld voor een deugdelijke bedrijfsvoering, en laten prospectussen voor nieuwe fondsen toetsen door een onafhankelijke stichting","Er woedt een tekort onder besloten vastgoedfondsen, bleek dat grote aanbieders, waaronder Bouwfonds REIM gezamenlijk normen opgesteld voor een deugdelijke bedrijfsvoering, en laten prospectussen voor nieuwe fondsen toetsen door een onafhankelijke stichting","['grote schoonmaak', 'vorige week. Eenentwintig', 'en Annexum', 'hebben']","['tekort', 'dat', '']",8,20,1,"[0.8125, 0.96, 1.0]",0.92,nrc
seq323-0,small,"Werkgevers wijzen nullijn voor 1995 af DEN HAAG, 26 APRIL.  Het Nederlands Christelijk Werkgeversverbond (NCW) wijst een centraal akkoord met de vakbeweging over een nullijn voor 1995 af",Werkgevers wijzen nullijn voor 1995 <extra_id_0> 26 APRIL. Het Nederlands Christelijk Werkgeversverbond <extra_id_1> centraal akkoord met de vakbeweging over een nullijn voor 1995 af,Werkgevers wijzen nullijn voor 1995 af 26 APRIL. Het Nederlands Christelijk Werkgeversverbond gaat centraal akkoord met de vakbeweging over een nullijn voor 1995 af,"['af DEN HAAG,', '(NCW) wijst een']","['af', 'gaat']",6,20,1,"[0.8333333333333334, 0.9333333333333333]",0.88,nrc
seq324-0,small,"Herontdekking van de wereld Voor de publieke omroep is het misschien een idee eens een documentaire aan de eerste oliecrisis te wijden, en aan de eerste autoloze zondag in de vaderlandse geschiedenis, op 4 november 1973 en de verwikkelingen die daaraan vooraf gingen en die erop volgden.  Waarom","Herontdekking van de wereld Voor de publieke omroep is het misschien een idee eens <extra_id_0> de eerste oliecrisis te wijden, <extra_id_1> autoloze zondag in de vaderlandse geschiedenis, op 4 november 1973 <extra_id_2> die daaraan vooraf gingen en die erop volgden. Waarom","Herontdekking van de wereld Voor de publieke omroep is het misschien een idee eens om de eerste oliecrisis te wijden, een autoloze zondag in de vaderlandse geschiedenis, op 4 november 1973 We hebben plannen die daaraan vooraf gingen en die erop volgden. Waarom","['een documentaire aan', 'en aan de eerste', 'en de verwikkelingen']","['om', 'een', 'We hebben plannen']",10,20,1,"[0.9, 0.875, 0.65]",0.81,nrc
seq325-0,small,"Het opzwepende geluid van de Caribische brassband staat in schril contrast met het grauwe herfstweer buiten, maar in de ontvangsthal van hoofdkantoor Zilveren Kruis Achmea zorgt het voor de nodige sfeer.  Meer dan honderd mensen, onder wie medewerkers en patinten van het failliete MC Slotervaartziekenhuis, zijn maandagmiddag naar Leiden afgereisd om verhaal te halen bij de zorgverzekeraar","Het opzwepende geluid van de Caribische brassband staat in schril contrast met het grauwe herfstweer buiten, maar in de ontvangsthal van hoofdkantoor Zilveren Kruis Achmea zorgt het voor de nodige sfeer. Meer dan honderd mensen, onder wie medewerkers en <extra_id_0> failliete MC <extra_id_1> naar Leiden afgereisd <extra_id_2> halen bij <extra_id_3>","Het opzwepende geluid van de Caribische brassband staat in schril contrast met het grauwe herfstweer buiten, maar in de ontvangsthal van hoofdkantoor Zilveren Kruis Achmea zorgt het voor de nodige sfeer. Meer dan honderd mensen, onder wie medewerkers en vrijwilligers van failliete MC worden naar Leiden afgereisd om zich te halen bij de nieuwe locatie.","['patinten van het', 'Slotervaartziekenhuis', 'zijn maandagmiddag', 'om verhaal te', 'de zorgverzekeraar']","['vrijwilligers van', 'worden', 'om zich te', 'locatie.']",11,20,1,"[0.8823529411764706, 0.8095238095238095, 0.9444444444444444, 0.9230769230769231]",0.89,nrc
seq326-0,small,"Willem-Alexander leed aan ziekte van Besnier-Boeck Prins Willem-Alexander (31) heeft de ziekte van Besnier-Boeck gehad.  Dat heeft Eef Brouwers, directeur van de Rijksvoorlichtingsdienst, bevestigd","<extra_id_0> ziekte van Besnier-Boeck Prins Willem-Alexander (31) heeft de ziekte van Besnier-Boeck gehad. <extra_id_1> Eef Brouwers, directeur van de Rijksvoorlichtingsdienst, bevestigd","de ziekte van Besnier-Boeck Prins Willem-Alexander (31) heeft de ziekte van Besnier-Boeck gehad. Dat heeft Eef Brouwers, directeur van de Rijksvoorlichtingsdienst, bevestigd","['Willem-Alexander leed aan', 'Dat heeft']","['de', 'Dat heeft']",5,20,1,"[0.92, 0.0]",0.46,nrc
seq327-0,small,"Northwest op zoek naar 300 miljoen dollar NEW YORK, 18 NOV.  Het Amerikaanse Northwest Airlines, waarin KLM een economisch belang van 20 procent heeft, is op zoek naar een lening van 300 miljoen dollar om een dreigend bankroet af te wenden","Northwest op zoek naar 300 miljoen dollar NEW YORK, 18 NOV. Het <extra_id_0> Airlines, waarin KLM een economisch belang van 20 procent heeft, is op zoek naar een lening van <extra_id_1> om <extra_id_2> af te wenden","Northwest op zoek naar 300 miljoen dollar NEW YORK, 18 NOV. Het nieuwe Northwest Airlines, waarin KLM een economisch belang van 20 procent heeft, is op zoek naar een lening van 300 miljoen dollar om zich af te wenden","['Amerikaanse Northwest', '300 miljoen dollar', 'een dreigend bankroet']","['nieuwe Northwest', '300 miljoen dollar', 'zich']",8,20,1,"[0.42857142857142855, 0.0, 0.9523809523809523]",0.46,nrc
seq328-0,small,President Taiwan trekt conclusie uit nederlaag De vertrekkende Taiwanese president Lee Teng-hui is vandaag afgetreden als voorzitter van de Kwomintang (KMT).  Lee heeft daarmee de verantwoordelijkheid genomen voor de historische nederlaag van de KMT in de presidentsverkiezingen van vorige week,President Taiwan trekt conclusie uit nederlaag De vertrekkende Taiwanese president Lee Teng-hui is vandaag afgetreden als voorzitter van <extra_id_0> (KMT). <extra_id_1> de verantwoordelijkheid genomen voor de historische nederlaag van de KMT in <extra_id_2> vorige week,President Taiwan trekt conclusie uit nederlaag De vertrekkende Taiwanese president Lee Teng-hui is vandaag afgetreden als voorzitter van de Koreaanse parlementsverkiezingen (KMT). Hij heeft de verantwoordelijkheid genomen voor de historische nederlaag van de KMT in de vorige week,"['de Kwomintang', 'Lee heeft daarmee', 'de presidentsverkiezingen van']","['de Koreaanse parlementsverkiezingen', 'Hij heeft', 'de']",8,20,1,"[0.7428571428571429, 0.6470588235294118, 0.9310344827586207]",0.77,nrc
seq329-0,small,"Man voor marmer Als je maar oud genoeg wordt, raak je vanzelf vergeten, althans door het grote publiek.  Op het laatst ben je nog maar een stipje aan de horizon, dat pas wordt opgemerkt als het er opeens niet meer is","Man voor marmer Als je maar oud genoeg wordt, raak je vanzelf vergeten, althans door het grote publiek. Op het laatst ben je nog <extra_id_0> aan de horizon, dat pas wordt opgemerkt <extra_id_1> er <extra_id_2> is","Man voor marmer Als je maar oud genoeg wordt, raak je vanzelf vergeten, althans door het grote publiek. Op het laatst ben je nog eens aan de horizon, dat pas wordt opgemerkt Maar er toch is","['maar een stipje', 'als het', 'opeens niet meer']","['eens', 'Maar', 'toch']",8,20,1,"[0.7333333333333333, 1.0, 0.9375]",0.89,nrc
seq330-0,small,De aanval kwam na een lange dag vasten Hoofdaanklager Ocampo pakt nu alle grote partijen in het conflict in Darfur aan.  De rechters moeten nu beslissen of er voldoende bewijs is voor een strafproces,De aanval kwam na een lange dag vasten Hoofdaanklager Ocampo pakt nu alle <extra_id_0> het conflict in Darfur <extra_id_1> nu beslissen of er voldoende bewijs is voor een strafproces,De aanval kwam na een lange dag vasten Hoofdaanklager Ocampo pakt nu alle plannen voor het conflict in Darfur Hij wil nu beslissen of er voldoende bewijs is voor een strafproces,"['grote partijen in', 'aan. De rechters moeten']","['plannen voor', 'Hij wil']",7,20,1,"[0.8823529411764706, 0.9565217391304348]",0.92,nrc
seq331-0,small,"Vertrouwen ondernemers in economie naar laagste peil in 2,5 jaar Het vertrouwen van Nederlandse ondernemers in de economie heeft het laagste niveau in tweenhalf jaar bereikt.  Ondernemers zagen in juli vooral minder orders binnenkomen","Vertrouwen ondernemers in economie naar laagste peil in 2,5 jaar Het vertrouwen van Nederlandse ondernemers <extra_id_0> heeft het laagste niveau <extra_id_1> Ondernemers zagen in juli vooral minder orders binnenkomen","Vertrouwen ondernemers in economie naar laagste peil in 2,5 jaar Het vertrouwen van Nederlandse ondernemers in economie heeft het laagste niveau Ondernemers zagen in juli vooral minder orders binnenkomen","['in de economie', 'in tweenhalf jaar bereikt.']","['in economie', '']",7,20,1,"[0.21428571428571427, 1.0]",0.61,nrc
seq332-0,small,NRC-avond 100 jaar Bauhaus: invloeden en mythes Naar aanleiding van de tentoonstelling nederland  bauhaus,NRC-avond 100 jaar Bauhaus: invloeden en mythes Naar aanleiding van <extra_id_0> bauhaus,NRC-avond 100 jaar Bauhaus: invloeden en mythes Naar aanleiding van het bauhaus,['de tentoonstelling nederland'],['het'],3,20,1,[0.9285714285714286],0.93,nrc
seq333-0,small,"Participatiesamenleving.  Nee, de oude verzorgingsstaat De troonrede klinkt als van Mars, maar komt neer op de oude Venus","Participatiesamenleving. Nee, de oude verzorgingsstaat De <extra_id_0> Mars, maar komt neer op de oude Venus","Participatiesamenleving. Nee, de oude verzorgingsstaat De Venus is niet bekend met de Mars, maar komt neer op de oude Venus",['troonrede klinkt als van'],['Venus is niet bekend met de'],4,20,1,[0.8888888888888888],0.89,nrc
seq334-0,small,"De Nederlandse kunstenares Erzsbet Baerveldt vereenzelvigt zich in haar werk sinds een aantal jaren met met de Hongaarse gravin Erzsbet Bthory (1560-1614).  Van deze gravin, die tijdens haar leven een nogal kwalijke reputatie genoot, bestaat slechts n schilderij dat samen met alle mythes rond Bthory voor Baerveldt het uitgangspunt voor bijna al haar werk vormt","De Nederlandse kunstenares Erzsbet Baerveldt vereenzelvigt zich in haar werk sinds een aantal jaren met met de Hongaarse gravin Erzsbet Bthory (1560-1614). Van deze gravin, die <extra_id_0> een nogal <extra_id_1> genoot, bestaat slechts n schilderij dat samen met alle mythes <extra_id_2> Baerveldt het uitgangspunt voor bijna <extra_id_3> vormt","De Nederlandse kunstenares Erzsbet Baerveldt vereenzelvigt zich in haar werk sinds een aantal jaren met met de Hongaarse gravin Erzsbet Bthory (1560-1614). Van deze gravin, die in een nogal hedendaags oeuvre genoot, bestaat slechts n schilderij dat samen met alle mythes van Baerveldt het uitgangspunt voor bijna alle kunsten vormt","['tijdens haar leven', 'kwalijke reputatie', 'rond Bthory voor', 'al haar werk']","['in', 'hedendaags oeuvre', 'van', 'alle kunsten']",11,20,1,"[0.8888888888888888, 0.8888888888888888, 0.9375, 0.8333333333333334]",0.89,nrc
seq335-0,small,De Haagse Stemming Vandaag praat de Tweede Kamer over de uitbreiding van het geboorteverlof.  Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen,De Haagse <extra_id_0> de Tweede Kamer over de <extra_id_1> het geboorteverlof. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen,De Haagse Kamer gaat de Tweede Kamer over de geboorte van het geboorteverlof. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen,"['Stemming Vandaag praat', 'uitbreiding van']","['Kamer gaat', 'geboorte van']",5,20,1,"[0.7272727272727273, 0.6666666666666666]",0.7,nrc
seq336-0,small,'Je moet vroeg met snooker beginnen' Zonder pak speel ik beter.  Die strik die knelt en kriebelt nogal,'Je moet vroeg met snooker beginnen' Zonder <extra_id_0> Die strik die knelt en kriebelt nogal,'Je moet vroeg met snooker beginnen' Zonder antwoord Die strik die knelt en kriebelt nogal,['pak speel ik beter.'],['antwoord'],4,20,1,[0.8947368421052632],0.89,nrc
seq337-0,small,Pianist die de draak uit zijn instrument wilde drijven Pianist Alexis Weissenberg oogstte tijdens zijn loopbaan zowel lof als kritiek.  In WO II ontkwam hij aan het kamp toen hij Schubert speelde,Pianist die de draak uit zijn instrument wilde <extra_id_0> Weissenberg oogstte tijdens zijn loopbaan zowel lof als kritiek. In <extra_id_1> hij aan het kamp toen hij Schubert speelde,Pianist die de draak uit zijn instrument wilde halen. Weissenberg oogstte tijdens zijn loopbaan zowel lof als kritiek. In kwam hij aan het kamp toen hij Schubert speelde,"['drijven Pianist Alexis', 'WO II ontkwam']","['halen.', 'kwam']",6,20,1,"[0.8636363636363636, 0.6923076923076923]",0.78,nrc
seq338-0,small,"Ze zijn er in soorten en maten, theatershows waarin hedendaagse dans een pact sluit met hedendaags circus.  In No Sweat, van de Britse Generating Company, leeft een groep vrouwen zich uit op aerial techniques, waaronder varianten op tissu en trapeze","Ze zijn er in soorten en maten, theatershows waarin hedendaagse dans een pact sluit met hedendaags circus. <extra_id_0> van de Britse Generating Company, leeft een groep vrouwen zich uit <extra_id_1> waaronder <extra_id_2> tissu en trapeze","Ze zijn er in soorten en maten, theatershows waarin hedendaagse dans een pact sluit met hedendaags circus. In de fabriek van de Britse Generating Company, leeft een groep vrouwen zich uit waaronder de tissu en trapeze","['In No Sweat,', 'op aerial techniques,', 'varianten op']","['In de fabriek', '', 'de']",8,20,1,"[0.6923076923076923, 1.0, 0.9166666666666666]",0.87,nrc
seq339-0,small,Offensief met gerbera's en rozen Mexico wil de wereld gaan veroveren met bloemen.  Met Nederlandse technologie wordt de aanval ingezet op de dominante positie van `Aalsmeer',Offensief met gerbera's en rozen Mexico wil de wereld gaan veroveren <extra_id_0> Nederlandse technologie wordt de aanval <extra_id_1> de dominante positie van `Aalsmeer',Offensief met gerbera's en rozen Mexico wil de wereld gaan veroveren met Nederlandse technologie wordt de aanval op de dominante positie van `Aalsmeer',"['met bloemen. Met', 'ingezet op']","['met', 'op']",5,20,1,"[0.8125, 0.8]",0.81,nrc
seq340-0,small,Hoekstra belooft in te grijpen na nieuwe kritiek op accountants Jaarrekeningen Het controlewerk door accountants is nog steeds onder de maat.  Minister Hoekstra wil fundamentele maatregelen nemen,Hoekstra belooft in te grijpen na nieuwe kritiek op accountants Jaarrekeningen Het controlewerk door accountants is nog <extra_id_0> de maat. Minister Hoekstra wil <extra_id_1>,Hoekstra belooft in te grijpen na nieuwe kritiek op accountants Jaarrekeningen Het controlewerk door accountants is nog niet in de maat. Minister Hoekstra wil nieuwe kritiek op accountants,"['steeds onder', 'fundamentele maatregelen nemen']","['niet in', 'accountants']",5,20,1,"[0.75, 0.8666666666666667]",0.81,nrc
seq341-0,small,"Staatsoliebedrijf is schuldig aan ontploffing Guadalajara MEXICO-STAD, 27 APRIL.  De reeks gasontploffingen in de riolering van de Mexicaanse stad Guadalajara, waarbij vorige week ten minste 200 mensen om het leven kwamen, is te wijten aan een lekkage in een opslagtank met benzine van de Mexicaanse staatsoliemaatschappij Petrleos de Mxico (Pemex)","Staatsoliebedrijf is schuldig aan ontploffing <extra_id_0> De reeks gasontploffingen in de riolering van de Mexicaanse <extra_id_1> vorige week ten minste 200 mensen om het leven kwamen, is te wijten aan een lekkage in een opslagtank <extra_id_2> de Mexicaanse staatsoliemaatschappij Petrleos de Mxico (Pemex)","Staatsoliebedrijf is schuldig aan ontploffing De reeks gasontploffingen in de riolering van de Mexicaanse rivier waar vorige week ten minste 200 mensen om het leven kwamen, is te wijten aan een lekkage in een opslagtank van de Mexicaanse staatsoliemaatschappij Petrleos de Mxico (Pemex)","['Guadalajara MEXICO-STAD', '27 APRIL.', 'stad Guadalajara', 'waarbij', 'met benzine van']","['', 'rivier waar', 'van']",10,20,1,"[1.0, 1.0, 0.9375]",0.98,nrc
seq342-0,small,Pillendoos stuurt sms als patint pil vergeet Een beetje Big Brother is het wel: de elektronische pillendoos.  Die stuurt je een sms als je vergeten bent je pillen in te nemen,Pillendoos stuurt sms als patint pil vergeet Een beetje Big Brother is het wel: <extra_id_0> Die stuurt <extra_id_1> als je vergeten bent je pillen in te nemen,Pillendoos stuurt sms als patint pil vergeet Een beetje Big Brother is het wel: pillen Die stuurt je sms als je vergeten bent je pillen in te nemen,"['de elektronische pillendoos.', 'je een sms']","['pillen', 'je sms']",6,20,1,"[0.7857142857142857, 0.4]",0.59,nrc
seq343-0,small,Groeien in online veiligheid Cloud computing en computerveiligheid zijn snelgroeiende markten.  Maar het vertrouwen in de cloud kreeg een tik door de uitval bij Amazon en anderen,Groeien in online veiligheid Cloud computing en computerveiligheid zijn snelgroeiende markten. Maar het vertrouwen in <extra_id_0> een tik door de uitval <extra_id_1> en anderen,Groeien in online veiligheid Cloud computing en computerveiligheid zijn snelgroeiende markten. Maar het vertrouwen in online veiligheid is een tik door de uitval en anderen,"['de cloud kreeg', 'bij Amazon']","['online veiligheid is', '']",5,20,1,"[0.85, 1.0]",0.93,nrc
seq344-0,small,In Belgi is de huisarts altijd te bellen Nederlandse huisartsen verdienen twee keer zo veel als hun Belgische collega`s.  Reden: minder patinten,In Belgi is de huisarts <extra_id_0> huisartsen verdienen twee keer zo veel als hun Belgische collega`s. Reden: minder patinten,In Belgi is de huisarts huisartsen verdienen twee keer zo veel als hun Belgische collega`s. Reden: minder patinten,['altijd te bellen Nederlandse'],[''],4,20,1,[1.0],1.0,nrc
seq345-0,small,Vorige week woensdag is in zijn woonplaats St.  Michielsgestel Jan Carel Elias graaf van Lynden (90) overleden,Vorige week woensdag is in zijn <extra_id_0> Jan Carel Elias graaf van Lynden (90) overleden,Vorige week woensdag is in zijn geboorteland Jan Carel Elias graaf van Lynden (90) overleden,['woonplaats St. Michielsgestel'],['geboorteland'],3,20,1,[0.896551724137931],0.9,nrc
seq346-0,small,Indiase minister wil wet vernoemen naar slachtoffer verkrachting Indiase vrouwen marcheren vandaag op weg naar het monument van Ghandi om de dood van de verkrachte studente medicijnen te herdenken.  Foto AP / Dar Yasin Indiase vrouwen marcheren vandaag op weg naar het monument van Ghandi om de dood van de verkrachte studente medicijnen te herdenken,Indiase minister wil wet vernoemen naar slachtoffer <extra_id_0> vrouwen marcheren vandaag op weg naar het monument van Ghandi om <extra_id_1> de verkrachte studente medicijnen te herdenken. Foto AP / Dar Yasin Indiase <extra_id_2> op weg naar het monument van Ghandi om de <extra_id_3> verkrachte studente medicijnen te herdenken,Indiase minister wil wet vernoemen naar slachtoffer van vrouwen marcheren vandaag op weg naar het monument van Ghandi om de dood van de verkrachte studente medicijnen te herdenken. Foto AP / Dar Yasin Indiase minister wil wet vernoemen naar slachtoffer van vrouwen marcheren vandaag op weg naar het monument van Ghandi om de dood van de verkrachte studente medicijnen te herdenken,"['verkrachting Indiase', 'de dood van', 'vrouwen marcheren vandaag', 'dood van de']","['van', 'de dood van', 'minister wil wet vernoemen naar slachtoffer van vrouwen marcheren vandaag', 'dood van de']",11,20,1,"[0.85, 0.0, 0.6575342465753424, 0.0]",0.38,nrc
seq347-0,small,"India is een olifant die aan het ontwaken is, roepen ministers vaak wanneer het om de Indiase economie gaat.  Ook de Indiase minister van handel en industrie, Murasoli Maran, die de afgelopen dagen in Nederland was om investeerders voor zijn land te interesseren, bedient zich graag van die metafoor","<extra_id_0> olifant die aan het ontwaken is, roepen ministers vaak wanneer het om de Indiase economie gaat. Ook de Indiase minister van handel en industrie, Murasoli Maran, die de <extra_id_1> was <extra_id_2> zijn land te interesseren, bedient zich graag van die metafoor","de olifant die aan het ontwaken is, roepen ministers vaak wanneer het om de Indiase economie gaat. Ook de Indiase minister van handel en industrie, Murasoli Maran, die de enige was om zijn land te interesseren, bedient zich graag van die metafoor","['India is een', 'afgelopen dagen in Nederland', 'om investeerders voor']","['de', 'enige', 'om']",10,20,1,"[0.8333333333333334, 0.8571428571428571, 0.9047619047619048]",0.87,nrc
seq348-0,small,"Gemeente Den Haag onderzoekt intercitylijn naar Brussel AMSTERDAM - Een informatiebord boven het perron op station Amsterdam Centraal kondigt het vertrek aan van de Fyra, de nieuwe hogesnelheidstrein die Brussel-Zuid verbindt met Amsterdam.  De Fyra rijdt voorlopig dagelijks tien keer tussen beide stations, met haltes in Brussel-Centraal, Antwerpen, Rotterdam en Schiphol","Gemeente Den Haag onderzoekt intercitylijn naar Brussel AMSTERDAM - Een informatiebord boven het perron op <extra_id_0> kondigt het vertrek aan van de Fyra, de nieuwe hogesnelheidstrein die Brussel-Zuid verbindt met Amsterdam. De Fyra rijdt voorlopig <extra_id_1> beide stations, met haltes in Brussel-Centraal, <extra_id_2> Schiphol","Gemeente Den Haag onderzoekt intercitylijn naar Brussel AMSTERDAM - Een informatiebord boven het perron op de locatie kondigt het vertrek aan van de Fyra, de nieuwe hogesnelheidstrein die Brussel-Zuid verbindt met Amsterdam. De Fyra rijdt voorlopig op beide stations, met haltes in Brussel-Centraal, Amsterdam-Zuid en Schiphol","['station Amsterdam Centraal', 'dagelijks tien keer tussen', 'Antwerpen', 'Rotterdam en']","['de locatie', 'op', 'Amsterdam-Zuid en']",10,20,1,"[0.8846153846153846, 1.0, 0.7058823529411765]",0.86,nrc
seq349-0,small,"Huntelaar blijft achter in Madrid Terwijl de selectie van Real Madrid gisteren de eerste training afwerkte in Ierland, stond Klaas Jan Huntelaar eenzaam op het veld in ","Huntelaar blijft achter in Madrid Terwijl de selectie van Real Madrid gisteren de eerste training afwerkte in Ierland, stond Klaas Jan <extra_id_0> op <extra_id_1>","Huntelaar blijft achter in Madrid Terwijl de selectie van Real Madrid gisteren de eerste training afwerkte in Ierland, stond Klaas Jan op de hoogte van de selectie.","['Huntelaar eenzaam', 'het veld in']","['', 'selectie.']",5,20,1,"[1.0, 0.8181818181818182]",0.91,nrc
